media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador,Retorno_Anualizado_%,Calmar,DD_%,Num_Trades,Sharpe,Ativo,combinacao
18,120,100,7,0.5,2783.43,88.8164457457155,31.34,6,3.479264149763196,PENGU,R:18_L:120_F:100_A:7_M:0.5
18,120,100,14,0.5,2753.41,88.7578841256782,31.02,6,3.469540157596159,PENGU,R:18_L:120_F:100_A:14_M:0.5
18,120,100,10,0.5,2744.97,88.20574901205164,31.12,6,3.4666768604635902,PENGU,R:18_L:120_F:100_A:10_M:0.5
18,120,100,20,0.5,2739.52,88.02401787175938,31.12,6,3.464817018611169,PENGU,R:18_L:120_F:100_A:20_M:0.5
18,120,100,5,0.5,2773.05,87.98408928825705,31.52,6,3.4756183224087764,PENGU,R:18_L:120_F:100_A:5_M:0.5
18,120,100,30,0.5,2721.49,87.57318594913194,31.08,6,3.4585438240971365,PENGU,R:18_L:120_F:100_A:30_M:0.5
18,120,100,25,0.5,2712.43,87.06396214177558,31.15,6,3.4554591726211927,PENGU,R:18_L:120_F:100_A:25_M:0.5
12,120,100,25,0.5,2675.53,84.48006590354633,31.67,7,3.4439708199285533,PENGU,R:12_L:120_F:100_A:25_M:0.5
12,120,100,20,0.5,2680.72,84.43504832220127,31.75,7,3.438438773069298,PENGU,R:12_L:120_F:100_A:20_M:0.5
12,120,100,14,0.5,2671.31,84.19053156143057,31.73,7,3.4426194942645205,PENGU,R:12_L:120_F:100_A:14_M:0.5
12,120,100,30,0.5,2663.02,83.51592135236118,31.89,7,3.4396231247506592,PENGU,R:12_L:120_F:100_A:30_M:0.5
14,120,100,10,0.5,2651.34,83.39340202574076,31.79,6,3.4218169340333344,PENGU,R:14_L:120_F:100_A:10_M:0.5
14,120,100,14,0.5,2651.11,83.34557085919315,31.81,6,3.421721038314854,PENGU,R:14_L:120_F:100_A:14_M:0.5
14,120,100,7,0.5,2632.01,82.4868396929832,31.91,6,3.414896600686821,PENGU,R:14_L:120_F:100_A:7_M:0.5
14,120,100,20,0.5,2631.88,82.12820434919254,32.05,6,3.414720492329043,PENGU,R:14_L:120_F:100_A:20_M:0.5
12,120,100,7,0.5,2624.84,82.12120917164803,31.96,7,3.4262458974591725,PENGU,R:12_L:120_F:100_A:7_M:0.5
12,120,100,10,0.5,2619.71,82.02005053457323,31.94,7,3.4244631701290515,PENGU,R:12_L:120_F:100_A:10_M:0.5
14,120,100,25,0.5,2616.23,81.87388748517415,31.95,6,3.409237804583728,PENGU,R:14_L:120_F:100_A:25_M:0.5
12,120,100,5,0.5,2598.85,81.85369764910386,31.75,7,3.4168180775897063,PENGU,R:12_L:120_F:100_A:5_M:0.5
14,120,100,30,0.5,2612.79,81.74952674359288,31.96,6,3.4080026933881533,PENGU,R:14_L:120_F:100_A:30_M:0.5
14,120,100,5,0.5,2610.74,81.36668818320564,32.09,6,3.4071616173852024,PENGU,R:14_L:120_F:100_A:5_M:0.5
10,120,100,30,1.0,2587.06,75.46252865177652,34.28,7,3.396914930763111,PENGU,R:10_L:120_F:100_A:30_M:1.0
10,120,100,25,1.0,2567.92,74.9699484671763,34.25,7,3.389962079909066,PENGU,R:10_L:120_F:100_A:25_M:1.0
10,120,100,20,1.0,2579.86,74.58180475128077,34.59,7,3.393859722161994,PENGU,R:10_L:120_F:100_A:20_M:1.0
14,120,100,14,1.0,2484.82,74.33995215909962,33.43,6,3.364848893808672,PENGU,R:14_L:120_F:100_A:14_M:1.0
18,120,100,14,1.0,2453.21,74.00877396322343,33.15,6,3.3639972992748666,PENGU,R:18_L:120_F:100_A:14_M:1.0
10,120,100,14,1.0,2539.1,73.58455495049428,34.51,7,3.3784247541824,PENGU,R:10_L:120_F:100_A:14_M:1.0
14,120,100,10,1.0,2467.6,73.28186609359726,33.67,6,3.358305254943849,PENGU,R:14_L:120_F:100_A:10_M:1.0
14,120,100,20,1.0,2464.26,73.24934093846574,33.64,6,3.3568773095096267,PENGU,R:14_L:120_F:100_A:20_M:1.0
14,120,100,25,1.0,2434.5,72.76145742370211,33.46,6,3.345722223689359,PENGU,R:14_L:120_F:100_A:25_M:1.0
14,120,100,30,1.0,2427.96,72.53743769934013,33.47,6,3.3431994893055896,PENGU,R:14_L:120_F:100_A:30_M:1.0
18,120,100,10,1.0,2428.45,72.45139196195913,33.52,6,3.355786963866635,PENGU,R:18_L:120_F:100_A:10_M:1.0
18,120,100,7,1.0,2400.92,71.9778868637143,33.36,6,3.3446748660519336,PENGU,R:18_L:120_F:100_A:7_M:1.0
5,120,100,20,0.5,2653.39,71.54476753994614,37.09,8,3.4207975701746567,PENGU,R:5_L:120_F:100_A:20_M:0.5
14,120,100,5,1.0,2418.12,71.50680194357584,33.82,6,3.3392578296124675,PENGU,R:14_L:120_F:100_A:5_M:1.0
14,120,100,7,1.0,2426.8,71.44260415328397,33.97,6,3.3426894708313264,PENGU,R:14_L:120_F:100_A:7_M:1.0
5,120,100,14,0.5,2645.52,71.30385694004337,37.1,8,3.418317810176407,PENGU,R:5_L:120_F:100_A:14_M:0.5
10,120,100,7,1.0,2463.45,71.17652917610104,34.61,7,3.3482290275579065,PENGU,R:10_L:120_F:100_A:7_M:1.0
5,120,100,30,0.5,2632.58,71.15861423685976,37.0,8,3.413505593471061,PENGU,R:5_L:120_F:100_A:30_M:0.5
5,120,100,25,0.5,2628.65,71.03485143649354,37.01,8,3.4120203805962297,PENGU,R:5_L:120_F:100_A:25_M:0.5
18,120,100,30,1.0,2309.11,70.95059091978106,32.55,6,3.3096572486173894,PENGU,R:18_L:120_F:100_A:30_M:1.0
10,120,100,10,1.0,2471.19,70.69144082279364,34.96,7,3.3525702969978424,PENGU,R:10_L:120_F:100_A:10_M:1.0
18,120,100,20,1.0,2312.61,69.85223291951665,33.11,6,3.3109454489422228,PENGU,R:18_L:120_F:100_A:20_M:1.0
5,120,100,10,0.5,2596.6,69.79561279404014,37.2,8,3.4010970931704945,PENGU,R:5_L:120_F:100_A:10_M:0.5
5,120,100,5,0.5,2566.51,69.57118115674986,36.89,8,3.389858146279832,PENGU,R:5_L:120_F:100_A:5_M:0.5
5,120,100,7,0.5,2589.91,69.55744174123481,37.23,8,3.3984951845110483,PENGU,R:5_L:120_F:100_A:7_M:0.5
18,120,100,25,1.0,2282.16,69.38521106127817,32.89,6,3.298655715437703,PENGU,R:18_L:120_F:100_A:25_M:1.0
18,120,100,5,1.0,2356.17,68.91824862177232,34.19,6,3.3254962612951267,PENGU,R:18_L:120_F:100_A:5_M:1.0
10,120,100,5,1.0,2419.05,68.86579868677536,35.13,7,3.331262239518725,PENGU,R:10_L:120_F:100_A:5_M:1.0
18,50,150,7,3.0,2259.3,66.1298983560212,34.16,5,3.420142603567958,PENGU,R:18_L:50_F:150_A:7_M:3.0
18,120,100,30,1.5,2320.24,65.72992588498037,35.3,6,3.3099871105122025,PENGU,R:18_L:120_F:100_A:30_M:1.5
18,50,150,20,4.0,2233.39,65.3716318063843,34.16,5,3.4088802007078525,PENGU,R:18_L:50_F:150_A:20_M:4.0
18,50,150,25,4.0,2224.74,65.11827229425285,34.16,5,3.4050632781172614,PENGU,R:18_L:50_F:150_A:25_M:4.0
18,50,150,5,4.0,2220.93,65.00673864320255,34.16,5,3.403374438815817,PENGU,R:18_L:50_F:150_A:5_M:4.0
18,120,100,14,1.5,2339.21,64.51799138105405,36.26,6,3.31907756438584,PENGU,R:18_L:120_F:100_A:14_M:1.5
18,120,100,20,1.5,2333.17,64.45828911311985,36.2,6,3.319423388007157,PENGU,R:18_L:120_F:100_A:20_M:1.5
18,50,150,14,4.0,2193.75,64.21112511681596,34.16,5,3.391175309265388,PENGU,R:18_L:50_F:150_A:14_M:4.0
12,120,100,10,1.0,2340.48,64.07799584528773,36.53,7,3.313884057984076,PENGU,R:12_L:120_F:100_A:10_M:1.0
18,120,100,25,1.5,2293.09,63.91025520271813,35.88,6,3.30248079661509,PENGU,R:18_L:120_F:100_A:25_M:1.5
14,120,100,14,1.5,2309.36,63.50872684516639,36.36,6,3.2961275814550755,PENGU,R:14_L:120_F:100_A:14_M:1.5
12,120,100,25,1.0,2261.91,63.20205561412636,35.79,7,3.283516235294251,PENGU,R:12_L:120_F:100_A:25_M:1.0
14,120,100,20,1.5,2294.2,62.938066584518616,36.45,6,3.2902471074474278,PENGU,R:14_L:120_F:100_A:20_M:1.5
18,120,100,10,1.5,2303.19,62.58783975836538,36.8,6,3.3075955814741818,PENGU,R:18_L:120_F:100_A:10_M:1.5
12,120,100,20,1.0,2257.06,62.42332058357572,36.16,7,3.2812716465856018,PENGU,R:12_L:120_F:100_A:20_M:1.0
12,120,100,14,1.0,2254.13,62.4045307595013,36.12,7,3.2800960719046275,PENGU,R:12_L:120_F:100_A:14_M:1.0
10,80,100,10,2.0,2575.05,62.37637558579777,41.28,5,3.340788538995351,PENGU,R:10_L:80_F:100_A:10_M:2.0
18,50,150,10,4.0,2126.7,62.24863408349175,34.16,5,3.3599413527119624,PENGU,R:18_L:50_F:150_A:10_M:4.0
18,50,150,20,5.0,2114.04,61.8780542846526,34.16,5,3.353860313607612,PENGU,R:18_L:50_F:150_A:20_M:5.0
12,120,100,30,1.0,2237.82,61.79277060832362,36.21,7,3.273498093645003,PENGU,R:12_L:120_F:100_A:30_M:1.0
18,50,150,7,4.0,2108.43,61.71397775920695,34.16,5,3.3511492856429776,PENGU,R:18_L:50_F:150_A:7_M:4.0
18,50,150,25,5.0,2103.44,61.56782310911753,34.16,5,3.3487247573451637,PENGU,R:18_L:50_F:150_A:25_M:5.0
18,50,150,5,5.0,2098.77,61.43129495631153,34.16,5,3.3464517284224,PENGU,R:18_L:50_F:150_A:5_M:5.0
18,50,150,30,4.0,2098.1,61.41146689784468,34.16,5,3.346120956983448,PENGU,R:18_L:50_F:150_A:30_M:4.0
18,50,150,20,2.5,2255.74,61.33988395607601,36.77,5,3.437375737714927,PENGU,R:18_L:50_F:150_A:20_M:2.5
12,120,100,5,1.0,2216.97,61.30586866688468,36.16,7,3.264725855073685,PENGU,R:12_L:120_F:100_A:5_M:1.0
10,80,100,20,2.5,2530.02,61.301788166381726,41.27,5,3.3242421485793523,PENGU,R:10_L:80_F:100_A:20_M:2.5
14,120,100,30,1.5,2182.21,61.01797111470706,35.76,6,3.246506572011171,PENGU,R:14_L:120_F:100_A:30_M:1.5
12,120,100,7,1.0,2228.83,60.94849258533338,36.57,7,3.269841505259395,PENGU,R:12_L:120_F:100_A:7_M:1.0
14,120,100,25,1.5,2176.17,60.84351646581855,35.77,6,3.2443468319162685,PENGU,R:14_L:120_F:100_A:25_M:1.5
18,50,150,14,5.0,2065.53,60.458128478587874,34.16,5,3.330020308352972,PENGU,R:18_L:50_F:150_A:14_M:5.0
14,120,100,10,1.5,2205.69,60.05599639757564,36.73,6,3.2557434065761237,PENGU,R:14_L:120_F:100_A:10_M:1.5
14,120,100,5,1.5,2214.98,59.96779616357157,36.94,6,3.257109899102588,PENGU,R:14_L:120_F:100_A:5_M:1.5
18,50,150,25,2.5,2216.22,59.35314368153287,37.34,5,3.4196049624876954,PENGU,R:18_L:50_F:150_A:25_M:2.5
9,80,100,20,2.5,2483.73,59.29697243800059,41.89,5,3.3086959989433344,PENGU,R:9_L:80_F:100_A:20_M:2.5
18,50,150,14,2.5,2203.42,59.15850224201663,37.25,5,3.4135524144537537,PENGU,R:18_L:50_F:150_A:14_M:2.5
10,120,100,14,1.5,2175.42,59.08031860619453,36.82,7,3.2335730838018257,PENGU,R:10_L:120_F:100_A:14_M:1.5
10,80,100,25,2.5,2438.56,58.74054026129684,41.51,5,3.2929433018844207,PENGU,R:10_L:80_F:100_A:25_M:2.5
10,120,100,10,1.5,2190.82,58.682599147327885,37.33,7,3.242081829694689,PENGU,R:10_L:120_F:100_A:10_M:1.5
10,120,100,30,1.5,2144.75,58.545491553436136,36.63,7,3.221395817355027,PENGU,R:10_L:120_F:100_A:30_M:1.5
18,50,150,20,6.0,1997.13,58.4562513662658,34.16,5,3.2949534446573536,PENGU,R:18_L:50_F:150_A:20_M:6.0
9,120,100,20,2.0,2131.93,58.26409620501889,36.59,6,3.2206603696062808,PENGU,R:9_L:120_F:100_A:20_M:2.0
7,120,100,14,0.5,2221.04,58.257633216012096,38.12,9,3.2672901541110644,PENGU,R:7_L:120_F:100_A:14_M:0.5
10,120,100,25,1.5,2125.2,58.22404804738136,36.5,7,3.2125299289161218,PENGU,R:10_L:120_F:100_A:25_M:1.5
10,80,100,14,2.5,2433.25,58.13156606565173,41.86,5,3.2886254373413357,PENGU,R:10_L:80_F:100_A:14_M:2.5
18,50,150,25,6.0,1984.68,58.09182929611214,34.16,5,3.2883864485752192,PENGU,R:18_L:50_F:150_A:25_M:6.0
18,50,150,10,5.0,1983.71,58.06338367146277,34.16,5,3.287871472953569,PENGU,R:18_L:50_F:150_A:10_M:5.0
18,50,150,30,2.5,2154.2,58.05096676714856,37.11,5,3.3925336790430243,PENGU,R:18_L:50_F:150_A:30_M:2.5
7,120,100,10,0.5,2215.67,58.00040564459181,38.2,9,3.265106686770047,PENGU,R:7_L:120_F:100_A:10_M:0.5
10,80,100,30,2.5,2418.49,57.982459157755216,41.71,5,3.285282280944933,PENGU,R:10_L:80_F:100_A:30_M:2.5
18,50,150,5,6.0,1979.21,57.93150458606044,34.16,5,3.285479455802533,PENGU,R:18_L:50_F:150_A:5_M:6.0
9,40,100,14,1.0,524.96,15.023909146205568,34.94,35,2.267313072064062,FLOKI,R:9_L:40_F:100_A:14_M:1.0
9,40,100,30,1.0,520.75,14.903385456820502,34.94,35,2.266483408177867,FLOKI,R:9_L:40_F:100_A:30_M:1.0
9,40,100,7,1.5,520.0,14.881867931354106,34.94,35,2.2331142009899594,FLOKI,R:9_L:40_F:100_A:7_M:1.5
9,40,100,25,1.0,518.41,14.836404755146768,34.94,35,2.271049048683965,FLOKI,R:9_L:40_F:100_A:25_M:1.0
9,40,100,20,1.0,517.17,14.801012612415368,34.94,35,2.269290419819035,FLOKI,R:9_L:40_F:100_A:20_M:1.0
10,50,50,30,1.0,561.48,14.749991388864231,38.07,34,2.412942768526799,BONK,R:10_L:50_F:50_A:30_M:1.0
9,40,100,14,2.0,511.39,14.635621175422418,34.94,35,2.217879316703784,FLOKI,R:9_L:40_F:100_A:14_M:2.0
9,40,100,10,1.0,506.87,14.506092718746054,34.94,35,2.2374067037526912,FLOKI,R:9_L:40_F:100_A:10_M:1.0
9,50,50,5,1.0,556.02,14.426283897416088,38.54,37,2.3986364532103304,BONK,R:9_L:50_F:50_A:5_M:1.0
9,40,100,5,2.5,499.28,14.288972217122996,34.94,35,2.194970908579852,FLOKI,R:9_L:40_F:100_A:5_M:2.5
9,40,100,5,2.0,498.56,14.26840796862868,34.94,35,2.1958841459486726,FLOKI,R:9_L:40_F:100_A:5_M:2.0
9,40,100,10,2.5,498.19,14.257738085970578,34.94,35,2.194790606999793,FLOKI,R:9_L:40_F:100_A:10_M:2.5
10,20,100,7,5.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:7_M:5.0
10,20,100,7,4.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:7_M:4.0
10,20,100,20,5.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:20_M:5.0
10,20,100,20,4.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:20_M:4.0
10,20,100,10,5.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:10_M:5.0
10,20,100,14,5.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:14_M:5.0
10,20,100,14,4.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:14_M:4.0
10,20,100,10,4.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:10_M:4.0
10,20,100,5,6.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:5_M:6.0
10,20,100,30,6.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:30_M:6.0
10,20,100,25,6.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:25_M:6.0
10,20,100,30,5.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:30_M:5.0
10,20,100,7,6.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:7_M:6.0
10,20,100,10,3.0,283.86,14.254866582013085,19.91,24,2.7716950387419623,TAO,R:10_L:20_F:100_A:10_M:3.0
