Ativo,Modo,Grupo,n_trades,retorno_total_pct,retorno_anual_pct,drawdown_pct,calmar,sharpe,capital_final
1MBABYDOGEUSDT,DEFENSIVO,nova,11,51.93,62.04,38.37,1.6169,0.9107,1519.31
1MBABYDOGEUSDT,FILTRADO,nova,11,51.93,62.04,38.37,1.6169,0.9107,1519.31
1MBABYDOGEUSDT,AGRESSIVO,nova,11,60.44,72.56,47.8,1.518,0.9212,1604.39
API3USDT,DEFENSIVO,nova,19,-11.71,-3.48,68.83,-0.0505,0.2686,882.93
API3USDT,FILTRADO,nova,19,12.13,3.31,58.46,0.0566,0.3506,1121.32
API3USDT,AGRESSIVO,nova,19,0.13,0.04,70.38,0.0005,0.4024,1001.29
BNBUSDT,DEFENSIVO,veterana,41,14473.85,103.81,43.31,2.3967,1.4462,145738.46
BNBUSDT,FILTRADO,veterana,41,13824.82,102.49,43.31,2.3662,1.4557,139248.24
BNBUSDT,AGRESSIVO,veterana,41,31971.97,128.14,44.7,2.8663,1.5019,320719.69
BONKUSDT,DEFENSIVO,nova,21,191.33,93.32,57.26,1.6297,1.3419,2913.33
BONKUSDT,FILTRADO,nova,21,191.33,93.32,57.26,1.6297,1.3419,2913.33
BONKUSDT,AGRESSIVO,nova,21,231.22,109.23,74.33,1.4696,1.252,3312.15
BTCUSDT,DEFENSIVO,veterana,91,1327.99,46.23,57.72,0.8009,1.0788,14279.93
BTCUSDT,FILTRADO,veterana,91,1324.44,46.17,51.71,0.893,1.1002,14244.38
BTCUSDT,AGRESSIVO,veterana,91,2885.12,62.48,64.33,0.9711,1.1578,29851.21
DOGEUSDT,DEFENSIVO,veterana,47,9735.77,113.02,77.99,1.449,0.9911,98357.69
DOGEUSDT,FILTRADO,veterana,47,12012.6,120.45,70.67,1.7043,1.0095,121126.04
DOGEUSDT,AGRESSIVO,veterana,47,40523.28,169.11,72.31,2.3387,1.0898,406232.83
ETHUSDT,DEFENSIVO,veterana,53,3078.7,63.94,44.08,1.4505,1.1936,31787.02
ETHUSDT,FILTRADO,veterana,53,2697.94,60.98,44.82,1.3606,1.1927,27979.36
ETHUSDT,AGRESSIVO,veterana,53,6138.08,80.53,57.91,1.3906,1.258,62380.79
FETUSDT,DEFENSIVO,nova,140,1219.96,49.5,81.97,0.6039,0.8823,13199.64
FETUSDT,FILTRADO,nova,140,718.56,38.77,80.9,0.4793,0.8004,8185.64
FETUSDT,AGRESSIVO,nova,140,577.33,34.74,90.11,0.3855,0.7787,6773.32
FLOKIUSDT,DEFENSIVO,nova,45,2019.71,292.22,41.22,7.0889,1.8948,21197.11
FLOKIUSDT,FILTRADO,nova,45,2019.71,292.22,41.22,7.0889,1.8948,21197.11
FLOKIUSDT,AGRESSIVO,nova,45,4598.92,460.08,54.1,8.5041,1.9417,46989.19
HBARUSDT,DEFENSIVO,nova,60,29.43,4.52,80.97,0.0558,0.4144,1294.26
HBARUSDT,FILTRADO,nova,60,31.98,4.87,80.59,0.0604,0.4126,1319.78
HBARUSDT,AGRESSIVO,nova,60,-47.07,-10.33,93.95,-0.11,0.3851,529.32
IMXUSDT,DEFENSIVO,nova,41,-62.09,-23.91,79.94,-0.2991,-0.1829,379.1
IMXUSDT,FILTRADO,nova,41,-43.14,-14.71,66.02,-0.2227,-0.1011,568.59
IMXUSDT,AGRESSIVO,nova,41,-53.05,-19.19,75.29,-0.2548,-0.0375,469.47
INJUSDT,DEFENSIVO,nova,33,80.22,13.14,78.98,0.1664,0.5445,1802.25
INJUSDT,FILTRADO,nova,33,104.62,16.19,76.13,0.2127,0.5602,2046.18
INJUSDT,AGRESSIVO,nova,33,82.42,13.43,85.71,0.1567,0.5939,1824.19
LINKUSDT,DEFENSIVO,veterana,87,3613.97,73.88,76.89,0.961,1.0685,37139.67
LINKUSDT,FILTRADO,veterana,87,4552.67,79.99,71.04,1.1259,1.1187,46526.7
LINKUSDT,AGRESSIVO,veterana,87,6431.87,89.58,78.6,1.1396,1.1286,65318.74
PENGUUSDT,DEFENSIVO,nova,10,-1.3,-2.11,44.18,-0.0478,0.3312,986.97
PENGUUSDT,FILTRADO,nova,10,-1.3,-2.11,44.18,-0.0478,0.3312,986.97
PENGUUSDT,AGRESSIVO,nova,10,-14.99,-23.24,60.94,-0.3813,0.2908,850.09
PEPEUSDT,DEFENSIVO,nova,45,1831.11,276.2,58.64,4.7101,1.7768,19311.09
PEPEUSDT,FILTRADO,nova,45,1831.11,276.2,58.64,4.7101,1.7768,19311.09
PEPEUSDT,AGRESSIVO,nova,45,2608.35,337.69,74.12,4.5561,1.7046,27083.46
RENDERUSDT,DEFENSIVO,nova,19,62.33,61.64,30.83,1.9993,1.2244,1623.31
RENDERUSDT,FILTRADO,nova,19,62.33,61.64,30.83,1.9993,1.2244,1623.31
RENDERUSDT,AGRESSIVO,nova,19,91.69,90.6,42.24,2.145,1.2836,1916.94
SOLUSDT,DEFENSIVO,veterana,45,12406.96,164.45,80.08,2.0534,1.5204,125069.63
SOLUSDT,FILTRADO,veterana,45,17080.06,181.91,68.17,2.6684,1.6407,171800.61
SOLUSDT,AGRESSIVO,veterana,45,50301.32,250.14,72.24,3.4624,1.7078,504013.25
SUIUSDT,DEFENSIVO,nova,33,35.74,14.61,39.4,0.3709,0.5335,1357.4
SUIUSDT,FILTRADO,nova,33,35.74,14.61,39.4,0.3709,0.5335,1357.4
SUIUSDT,AGRESSIVO,nova,33,23.65,9.94,53.09,0.1872,0.5763,1236.46
TAOUSDT,DEFENSIVO,nova,24,87.52,62.28,31.33,1.9878,1.187,1875.22
TAOUSDT,FILTRADO,nova,24,87.52,62.28,31.33,1.9878,1.187,1875.22
TAOUSDT,AGRESSIVO,nova,24,119.12,82.95,42.75,1.9402,1.1617,2191.18
TRXUSDT,DEFENSIVO,veterana,69,1061.24,41.97,64.78,0.6479,0.8301,11612.43
TRXUSDT,FILTRADO,veterana,69,1196.19,44.22,64.78,0.6826,0.8572,12961.92
TRXUSDT,AGRESSIVO,veterana,69,1999.73,54.51,75.49,0.7221,0.8991,20997.28
XRPUSDT,DEFENSIVO,veterana,71,1096.63,42.58,68.38,0.6227,0.8304,11966.29
XRPUSDT,FILTRADO,veterana,71,1107.1,42.76,68.1,0.6278,0.8334,12071.03
XRPUSDT,AGRESSIVO,veterana,71,1245.24,44.99,82.65,0.5443,0.8557,13452.4
ZECUSDT,DEFENSIVO,nova,126,7.9,1.2,85.7,0.014,0.2972,1079.01
ZECUSDT,FILTRADO,nova,126,37.84,5.18,81.34,0.0636,0.3593,1378.38
ZECUSDT,AGRESSIVO,nova,126,0.12,0.02,90.08,0.0002,0.3629,1001.19
