Ativo,Grupo,Sharpe_Base,p_value_Base,Significativo_Base,Sharpe_ScaleOut,p_value_ScaleOut,Significativo_ScaleOut,ScaleOut_Melhora_Sharpe
1MBABYDOGEUSDT,nova,0.8495285972944903,0.2205,False,0.4570675816534584,0.359,False,nao
API3USDT,nova,0.26827037891963645,0.3,False,0.18743569447747574,0.3625,False,nao
BNBUSDT,veterana,1.4298729814849596,0.0,True,1.4074122855275826,0.0,True,nao
BONKUSDT,nova,1.3384897163901222,0.0345,True,2.0160254949445267,0.0045,True,SIM
BTCUSDT,veterana,1.0906708632789102,0.001,True,1.051926408431251,0.0025,True,nao
DOGEUSDT,veterana,0.9836811726801713,0.0025,True,0.819388157870128,0.0145,True,nao
ETHUSDT,veterana,1.1769587896922977,0.002,True,1.2509131449227089,0.001,True,SIM
FETUSDT,nova,0.8770489875839605,0.0135,True,1.0776758982927175,0.0025,True,SIM
FLOKIUSDT,nova,1.8913367465335906,0.001,True,1.8776243834504354,0.001,True,nao
HBARUSDT,nova,0.3953297729229273,0.1765,False,0.34929447190068535,0.2105,False,nao
IMXUSDT,nova,-0.19677395449108445,0.6275,False,-0.12614536288631767,0.586,False,SIM
INJUSDT,nova,0.5129425595482816,0.1435,False,0.6177028422026185,0.0855,False,SIM
LINKUSDT,veterana,1.0678308806509882,0.002,True,0.9756816318234658,0.004,True,nao
PENGUUSDT,nova,0.33475485910706676,0.417,False,0.7202656762093351,0.292,False,SIM
PEPEUSDT,nova,1.7734939651676924,0.003,True,1.5402905397833107,0.007,True,nao
RENDERUSDT,nova,1.1502420036384358,0.108,False,0.3723815973072925,0.3645,False,nao
SOLUSDT,veterana,1.497400734006242,0.0,True,1.464017063180415,0.001,True,nao
SUIUSDT,nova,0.5165186599771224,0.2315,False,0.7452992557399664,0.1405,False,SIM
TAOUSDT,nova,1.1832104408280313,0.0865,False,1.0564724006376098,0.117,False,nao
TRXUSDT,veterana,0.8276770979455674,0.0135,True,0.7988699310421133,0.0165,True,nao
XRPUSDT,veterana,0.8177753488469898,0.011,True,0.7514761663986846,0.0185,True,nao
ZECUSDT,nova,0.29703901535186483,0.227,False,0.2587749669279035,0.2565,False,nao
