Ativo,Timeframe,Janela,Periodo_Treino,Periodo_Teste,media_rapida_per_v3,media_lenta_per_v3,media_filtro_tendencia_per_v3,atr_periodo_v3,atr_multiplicador_v3,multiplicador_trailing_v3,Lucro_V2_TESTE_%,Lucro_V3_TESTE_%,Lucro_BuyHold_TESTE_%,DD_V2_TESTE_%,DD_V3_TESTE_%,Trades_V2_TESTE,Trades_V3_TESTE
FETUSDT,4h,1,2019-02-28 a 2021-12-31,2022-01-01 a 2022-12-31,8,50,150,10,6.0,4.0,-18.22,-29.27,-81.74,41.27,44.06,6,4
FETUSDT,4h,2,2019-02-28 a 2022-12-31,2023-01-01 a 2023-12-31,8,50,150,7,6.0,4.0,318.46,349.21,634.17,69.27,59.6,12,10
FETUSDT,4h,3,2019-02-28 a 2023-12-31,2024-01-01 a 2024-12-31,8,50,150,7,6.0,4.0,-26.36,20.34,89.12,42.5,59.51,8,5
FETUSDT,4h,4,2019-02-28 a 2024-12-31,2025-01-01 a 2025-12-31,8,50,150,7,6.0,4.0,-48.23,-69.39,-84.39,54.78,70.73,4,6
FETUSDT,4h,5,2019-02-28 a 2025-12-31,2026-01-01 a 2026-07-28,8,50,150,7,6.0,4.0,8.6,-45.37,-28.99,30.46,45.37,3,2
BTCUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,5,20,100,14,6.0,4.0,34.29,-17.15,59.79,29.5,58.83,8,11
BTCUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,5,20,250,14,5.0,4.0,-26.07,-17.52,-64.21,30.55,27.56,10,5
BTCUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,5,20,250,14,5.0,4.0,32.89,0.28,155.62,22.86,26.24,12,11
BTCUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,5,20,250,14,5.0,4.0,111.69,86.45,121.31,23.04,33.09,8,10
BTCUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,5,20,250,14,5.0,4.0,-1.93,-18.01,-6.33,16.57,20.72,11,10
BTCUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,5,20,250,14,5.0,4.0,-10.79,-6.3,-27.56,21.25,15.17,5,7
