Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_Base_%,Retorno_ADX_%,BuyHold_%,DD_Base_%,DD_ADX_%,Trades_Base,Trades_ADX
1MBABYDOGEUSDT,nova,4h,2024,2024-09-16 a 2024-12-31,BULL,73.66,17.08,255.64,26.01,53.85,3,3
1MBABYDOGEUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,-13.63,-12.36,-58.28,29.58,29.58,9,8
API3USDT,nova,12h,2022,2022-01-21 a 2022-12-31,BEAR,-15.14,-15.14,-75.73,27.02,27.02,2,2
API3USDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,-29.67,-29.67,96.65,60.06,60.06,8,8
API3USDT,nova,12h,2024,2024-01-01 a 2024-12-31,LATERAL,105.5,65.85,-20.38,50.17,48.89,5,2
API3USDT,nova,12h,2025,2025-01-01 a 2025-08-01,BEAR,-11.39,-43.59,-57.92,43.56,60.84,3,2
BNBUSDT,veterana,12h,2018,2018-08-03 a 2018-12-31,BEAR,-12.58,-12.58,-56.75,15.65,15.65,2,2
BNBUSDT,veterana,12h,2019,2019-01-01 a 2019-12-31,BULL,-4.07,-4.07,124.34,15.98,15.98,1,1
BNBUSDT,veterana,12h,2020,2020-01-01 a 2020-12-31,BULL,63.03,63.03,172.38,33.17,33.17,5,5
BNBUSDT,veterana,12h,2021,2021-01-01 a 2021-12-31,BULL,39.78,47.74,1268.86,29.09,25.05,4,3
BNBUSDT,veterana,12h,2022,2022-01-01 a 2022-12-31,BEAR,-14.06,-27.15,-51.85,30.2,36.99,7,7
BNBUSDT,veterana,12h,2023,2023-01-01 a 2023-12-31,BULL,54.43,56.14,26.59,14.26,14.26,6,5
BNBUSDT,veterana,12h,2024,2024-01-01 a 2024-12-31,BULL,54.94,54.94,125.17,34.18,34.18,7,7
BNBUSDT,veterana,12h,2025,2025-01-01 a 2025-08-01,LATERAL,8.12,3.4,7.8,12.36,24.8,5,4
BONKUSDT,nova,4h,2023,2023-12-15 a 2023-12-31,BEAR,0.0,0.0,-31.71,0.0,0.0,0,0
BONKUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,9.91,4.79,129.41,57.26,57.26,13,11
BONKUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,165.06,234.05,-11.28,19.73,19.73,8,5
BTCUSDT,veterana,6h,2018,2018-08-03 a 2018-12-31,BEAR,-19.97,-18.95,-50.8,23.0,22.01,6,5
BTCUSDT,veterana,6h,2019,2019-01-01 a 2019-12-31,BULL,88.54,92.91,94.4,43.46,42.39,8,7
BTCUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,357.87,357.87,301.98,19.64,19.64,13,13
BTCUSDT,veterana,6h,2021,2021-01-01 a 2021-12-31,BULL,19.79,19.79,59.79,50.07,50.07,12,12
BTCUSDT,veterana,6h,2022,2022-01-01 a 2022-12-31,BEAR,-44.29,-44.29,-64.21,48.99,48.99,14,14
BTCUSDT,veterana,6h,2023,2023-01-01 a 2023-12-31,BULL,93.08,93.42,155.62,21.77,21.77,14,13
BTCUSDT,veterana,6h,2024,2024-01-01 a 2024-12-31,BULL,40.39,56.88,121.31,37.53,34.77,14,10
BTCUSDT,veterana,6h,2025,2025-01-01 a 2025-08-01,LATERAL,10.35,10.35,22.27,15.18,15.18,7,7
DOGEUSDT,veterana,8h,2019,2019-07-05 a 2019-12-31,BEAR,-7.59,-7.59,-55.16,13.85,13.85,2,2
DOGEUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,BULL,174.95,111.17,131.97,38.38,47.1,5,4
DOGEUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,2065.33,2340.22,3545.43,57.72,53.43,8,7
DOGEUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-51.53,-64.0,-58.75,60.08,71.49,13,9
DOGEUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,52.52,54.92,27.49,23.97,23.97,7,6
DOGEUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,49.25,26.04,252.84,45.22,53.74,7,7
DOGEUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,BEAR,-6.89,-27.57,-33.66,31.08,46.38,4,4
ETHUSDT,veterana,8h,2018,2018-08-03 a 2018-12-31,BEAR,-12.65,-12.65,-67.99,28.44,28.44,4,4
ETHUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,LATERAL,26.89,26.89,-1.74,32.86,32.86,8,8
ETHUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,BULL,269.05,269.05,470.16,35.3,35.3,5,5
ETHUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,20.3,20.3,399.2,34.71,34.71,5,5
ETHUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-3.93,-3.93,-67.46,38.75,38.75,7,7
ETHUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,40.28,40.28,90.77,26.74,26.74,9,9
ETHUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,36.7,36.7,46.27,34.43,34.43,8,8
ETHUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,LATERAL,71.81,71.81,8.34,15.06,15.06,4,4
FETUSDT,nova,4h,2019,2019-02-28 a 2019-12-31,BEAR,-56.03,-56.44,-88.76,58.25,58.63,14,13
FETUSDT,nova,4h,2020,2020-01-01 a 2020-12-31,BULL,369.3,469.9,38.38,43.43,43.43,19,17
FETUSDT,nova,4h,2021,2021-01-01 a 2021-12-31,BULL,126.4,175.17,873.84,70.24,67.74,25,20
FETUSDT,nova,4h,2022,2022-01-01 a 2022-12-31,BEAR,-29.12,-37.49,-81.74,51.94,62.21,23,17
FETUSDT,nova,4h,2023,2023-01-01 a 2023-12-31,BULL,222.09,327.04,634.17,53.27,49.06,26,23
FETUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,91.31,59.47,89.12,40.36,49.92,18,16
FETUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,-35.49,-36.63,-48.27,47.07,46.82,16,13
FLOKIUSDT,nova,4h,2023,2023-05-05 a 2023-12-31,LATERAL,44.27,14.09,8.24,26.74,44.14,13,9
FLOKIUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,702.9,1399.13,406.9,34.94,34.94,23,17
FLOKIUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,83.0,126.72,-38.37,26.03,22.86,9,7
HBARUSDT,nova,8h,2019,2019-09-29 a 2019-12-31,BEAR,0.63,-28.5,-67.0,1.02,30.09,1,1
HBARUSDT,nova,8h,2020,2020-01-01 a 2020-12-31,BULL,120.9,209.71,211.55,62.47,56.05,14,9
HBARUSDT,nova,8h,2021,2021-01-01 a 2021-12-31,BULL,27.49,79.84,812.35,72.23,67.29,12,9
HBARUSDT,nova,8h,2022,2022-01-01 a 2022-12-31,BEAR,-43.46,-41.8,-87.42,44.18,42.54,6,5
HBARUSDT,nova,8h,2023,2023-01-01 a 2023-12-31,BULL,39.91,-3.48,135.34,37.16,48.75,14,11
HBARUSDT,nova,8h,2024,2024-01-01 a 2024-12-31,BULL,-11.16,-7.28,212.79,42.75,40.25,8,7
HBARUSDT,nova,8h,2025,2025-01-01 a 2025-08-01,LATERAL,-39.2,-34.18,-6.1,40.94,36.07,6,5
IMXUSDT,nova,6h,2022,2022-01-10 a 2022-12-31,BEAR,-59.22,-72.03,-89.76,68.56,78.44,13,12
IMXUSDT,nova,6h,2023,2023-01-01 a 2023-12-31,BULL,72.24,107.16,455.08,61.47,66.97,14,12
IMXUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BEAR,-26.07,-26.07,-37.79,45.61,45.61,9,9
IMXUSDT,nova,6h,2025,2025-01-01 a 2025-08-01,BEAR,-26.94,-27.15,-62.34,38.06,38.23,6,5
INJUSDT,nova,12h,2020,2020-10-21 a 2020-12-31,BULL,0.0,0.0,912.05,0.0,0.0,0,0
INJUSDT,nova,12h,2021,2021-01-01 a 2021-12-31,BULL,78.05,-45.97,103.33,55.4,85.17,5,5
INJUSDT,nova,12h,2022,2022-01-01 a 2022-12-31,BEAR,-38.88,-68.89,-84.52,60.15,74.8,6,4
INJUSDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,239.48,239.48,2704.31,54.02,54.02,10,10
INJUSDT,nova,12h,2024,2024-01-01 a 2024-12-31,BEAR,-48.1,-48.1,-45.13,60.52,60.52,8,8
INJUSDT,nova,12h,2025,2025-01-01 a 2025-08-01,BEAR,-16.06,-11.35,-36.03,32.24,32.24,3,2
LINKUSDT,veterana,6h,2019,2019-01-16 a 2019-12-31,BULL,269.69,321.45,230.03,50.03,48.57,13,11
LINKUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,907.19,907.19,535.61,31.53,31.53,8,8
LINKUSDT,veterana,6h,2021,2021-01-01 a 2021-12-31,BULL,43.12,43.12,73.63,53.5,53.5,13,13
LINKUSDT,veterana,6h,2022,2022-01-01 a 2022-12-31,BEAR,-53.9,-49.98,-71.44,59.93,56.52,15,14
LINKUSDT,veterana,6h,2023,2023-01-01 a 2023-12-31,BULL,118.41,99.82,168.0,24.35,31.38,14,13
LINKUSDT,veterana,6h,2024,2024-01-01 a 2024-12-31,BULL,-7.43,-17.81,33.92,45.4,51.52,17,17
LINKUSDT,veterana,6h,2025,2025-01-01 a 2025-08-01,LATERAL,-25.22,-25.22,-18.63,34.41,34.41,7,7
PENGUUSDT,nova,4h,2024,2024-12-17 a 2024-12-31,BULL,0.0,0.0,887.44,0.0,0.0,0,0
PENGUUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,-1.56,54.22,2.39,44.18,32.21,11,6
