Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_Base_%,Retorno_ScaleOut_%,BuyHold_%,DD_Base_%,DD_ScaleOut_%,Trades_Base,Trades_ScaleOut
1MBABYDOGEUSDT,nova,4h,2024,2024-09-16 a 2024-12-31,BULL,73.66,24.0,255.64,26.01,21.73,3,2
1MBABYDOGEUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,-13.63,-11.11,-58.28,29.58,24.44,9,6
API3USDT,nova,12h,2022,2022-01-21 a 2022-12-31,BEAR,-15.14,-4.43,-75.73,27.02,16.65,2,1
API3USDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,-29.67,-37.25,96.65,60.06,60.03,8,5
API3USDT,nova,12h,2024,2024-01-01 a 2024-12-31,LATERAL,105.5,97.28,-20.38,50.17,50.35,5,3
API3USDT,nova,12h,2025,2025-01-01 a 2025-08-01,BEAR,-11.39,-28.57,-57.92,43.56,51.54,3,2
BNBUSDT,veterana,12h,2018,2018-08-03 a 2018-12-31,BEAR,-12.58,-6.55,-56.75,15.65,12.32,2,1
BNBUSDT,veterana,12h,2019,2019-01-01 a 2019-12-31,BULL,-4.07,-17.62,124.34,15.98,27.85,1,1
BNBUSDT,veterana,12h,2020,2020-01-01 a 2020-12-31,BULL,63.03,59.07,172.38,33.17,36.46,5,3
BNBUSDT,veterana,12h,2021,2021-01-01 a 2021-12-31,BULL,39.78,49.29,1268.86,29.09,23.82,4,3
BNBUSDT,veterana,12h,2022,2022-01-01 a 2022-12-31,BEAR,-14.06,-15.05,-51.85,30.2,29.29,7,4
BNBUSDT,veterana,12h,2023,2023-01-01 a 2023-12-31,BULL,54.43,49.97,26.59,14.26,14.5,6,3
BNBUSDT,veterana,12h,2024,2024-01-01 a 2024-12-31,BULL,54.94,68.07,125.17,34.18,30.84,7,5
BNBUSDT,veterana,12h,2025,2025-01-01 a 2025-08-01,LATERAL,8.12,-1.11,7.8,12.36,21.06,5,3
BONKUSDT,nova,4h,2023,2023-12-15 a 2023-12-31,BEAR,0.0,0.0,-31.71,0.0,0.0,0,0
BONKUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,9.91,209.97,129.41,57.26,41.23,13,8
BONKUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,165.06,117.21,-11.28,19.73,26.77,8,6
BTCUSDT,veterana,6h,2018,2018-08-03 a 2018-12-31,BEAR,-19.97,-17.61,-50.8,23.0,20.72,6,4
BTCUSDT,veterana,6h,2019,2019-01-01 a 2019-12-31,BULL,88.54,79.06,94.4,43.46,38.04,8,5
BTCUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,357.87,286.04,301.98,19.64,17.43,13,9
