Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Retorno_Cond_%,DD_Cond_%
1MBABYDOGEUSDT,nova,2024,BULL,255.64,73.66,26.01,24.0,21.73
1MBABYDOGEUSDT,nova,2025,BEAR,-58.39,-13.63,29.58,-11.11,24.44
API3USDT,nova,2022,BEAR,-75.73,-15.14,27.02,-15.14,27.02
API3USDT,nova,2023,BULL,96.65,-29.67,60.06,-37.84,60.41
API3USDT,nova,2024,LATERAL,-20.38,105.5,50.17,97.28,50.35
API3USDT,nova,2025,BEAR,-57.92,-11.39,43.56,-19.86,45.63
BNBUSDT,veterana,2018,BEAR,-56.75,-12.58,15.65,-12.58,15.65
BNBUSDT,veterana,2019,BULL,124.34,-4.07,15.98,-17.62,27.85
BNBUSDT,veterana,2020,BULL,172.38,63.03,33.17,59.07,36.46
BNBUSDT,veterana,2021,BULL,1268.86,39.78,29.09,49.29,23.82
BNBUSDT,veterana,2022,BEAR,-51.85,-14.06,30.2,-14.06,30.2
BNBUSDT,veterana,2023,BULL,26.59,54.43,14.26,47.04,13.55
BNBUSDT,veterana,2024,BULL,125.17,54.94,34.18,68.07,30.84
BNBUSDT,veterana,2025,LATERAL,7.8,8.12,12.36,-1.11,21.06
BONKUSDT,nova,2023,BEAR,-31.71,0.0,0.0,0.0,0.0
BONKUSDT,nova,2024,BULL,129.41,9.91,57.26,209.97,41.23
BONKUSDT,nova,2025,LATERAL,-13.66,165.06,19.73,117.21,26.77
BTCUSDT,veterana,2018,BEAR,-50.8,-19.97,23.0,-19.97,23.0
BTCUSDT,veterana,2019,BULL,94.4,88.54,43.46,91.74,43.55
BTCUSDT,veterana,2020,BULL,301.98,357.87,19.64,275.11,19.01
BTCUSDT,veterana,2021,BULL,59.79,19.79,50.07,44.06,43.06
BTCUSDT,veterana,2022,BEAR,-64.21,-44.29,48.99,-44.29,48.99
BTCUSDT,veterana,2023,BULL,155.62,93.08,21.77,63.28,21.77
BTCUSDT,veterana,2024,BULL,121.31,40.39,37.53,31.82,32.05
BTCUSDT,veterana,2025,LATERAL,22.27,10.35,15.18,3.49,21.82
DOGEUSDT,veterana,2019,BEAR,-55.16,-7.59,13.85,-21.77,21.77
DOGEUSDT,veterana,2020,BULL,131.97,174.95,38.38,126.46,37.0
DOGEUSDT,veterana,2021,BULL,3545.43,2065.33,57.72,1661.01,62.89
DOGEUSDT,veterana,2022,BEAR,-58.75,-51.53,60.08,-51.53,60.08
DOGEUSDT,veterana,2023,BULL,27.49,52.52,23.97,46.61,23.97
DOGEUSDT,veterana,2024,BULL,252.84,49.25,45.22,34.43,50.62
DOGEUSDT,veterana,2025,BEAR,-36.4,-10.74,31.08,-13.07,32.27
ETHUSDT,veterana,2018,BEAR,-67.99,-12.65,28.44,-12.65,28.44
ETHUSDT,veterana,2019,LATERAL,-1.74,26.89,32.86,0.93,46.59
ETHUSDT,veterana,2020,BULL,470.16,269.05,35.3,290.02,29.4
ETHUSDT,veterana,2021,BULL,399.2,20.3,34.71,68.7,44.41
ETHUSDT,veterana,2022,BEAR,-67.46,-3.93,38.75,-3.93,38.75
ETHUSDT,veterana,2023,BULL,90.77,40.28,26.74,37.55,28.17
ETHUSDT,veterana,2024,BULL,46.27,36.7,34.43,35.29,32.71
ETHUSDT,veterana,2025,LATERAL,4.51,65.73,15.06,50.0,12.36
FETUSDT,nova,2019,BEAR,-88.76,-56.03,58.25,-46.9,58.25
FETUSDT,nova,2020,BULL,38.38,369.3,43.43,316.18,47.04
FETUSDT,nova,2021,BULL,873.84,126.4,70.24,196.07,44.99
