Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Trades_Base,Retorno_Reentry_%,DD_Reentry_%,Trades_Reentry
1MBABYDOGEUSDT,nova,2024,BULL,255.64,73.66,26.01,3,73.66,26.01,3
1MBABYDOGEUSDT,nova,2025,BEAR,-58.39,-13.63,29.58,9,-14.95,30.65,9
API3USDT,nova,2022,BEAR,-75.73,-15.14,27.02,2,-15.14,27.02,2
API3USDT,nova,2023,BULL,96.65,-29.67,60.06,8,-29.67,60.06,8
API3USDT,nova,2024,LATERAL,-20.38,105.5,50.17,5,105.5,50.17,5
API3USDT,nova,2025,BEAR,-57.92,-11.39,43.56,3,-11.39,43.56,3
BNBUSDT,veterana,2018,BEAR,-56.75,-12.58,15.65,2,-12.58,15.65,2
BNBUSDT,veterana,2019,BULL,124.34,-4.07,15.98,1,-4.07,15.98,1
BNBUSDT,veterana,2020,BULL,172.38,63.03,33.17,5,63.03,33.17,5
BNBUSDT,veterana,2021,BULL,1268.86,39.78,29.09,4,44.5,26.7,4
BNBUSDT,veterana,2022,BEAR,-51.85,-14.06,30.2,7,-14.06,30.2,7
BNBUSDT,veterana,2023,BULL,26.59,54.43,14.26,6,54.43,14.26,6
BNBUSDT,veterana,2024,BULL,125.17,54.94,34.18,7,54.94,34.18,7
BNBUSDT,veterana,2025,LATERAL,7.8,8.12,12.36,5,2.51,25.44,5
BONKUSDT,nova,2023,BEAR,-31.71,0.0,0.0,0,0.0,0.0,0
BONKUSDT,nova,2024,BULL,129.41,9.91,57.26,13,9.97,57.26,13
BONKUSDT,nova,2025,LATERAL,-13.66,165.06,19.73,8,198.11,19.73,8
BTCUSDT,veterana,2018,BEAR,-50.8,-19.97,23.0,6,-19.97,23.0,6
BTCUSDT,veterana,2019,BULL,94.4,88.54,43.46,8,88.54,43.46,8
BTCUSDT,veterana,2020,BULL,301.98,357.87,19.64,13,359.77,19.3,13
BTCUSDT,veterana,2021,BULL,59.79,19.79,50.07,12,19.79,50.07,12
BTCUSDT,veterana,2022,BEAR,-64.21,-44.29,48.99,14,-44.29,48.99,14
BTCUSDT,veterana,2023,BULL,155.62,93.08,21.77,14,93.08,21.77,14
BTCUSDT,veterana,2024,BULL,121.31,40.39,37.53,14,44.97,37.53,14
BTCUSDT,veterana,2025,LATERAL,22.27,10.35,15.18,7,10.35,15.18,7
DOGEUSDT,veterana,2019,BEAR,-55.16,-7.59,13.85,2,-7.59,13.85,2
DOGEUSDT,veterana,2020,BULL,131.97,174.95,38.38,5,174.95,38.38,5
DOGEUSDT,veterana,2021,BULL,3545.43,2065.33,57.72,8,2065.33,57.72,8
DOGEUSDT,veterana,2022,BEAR,-58.75,-51.53,60.08,13,-51.53,60.08,13
DOGEUSDT,veterana,2023,BULL,27.49,52.52,23.97,7,52.52,23.97,7
DOGEUSDT,veterana,2024,BULL,252.84,49.25,45.22,7,52.37,44.08,7
DOGEUSDT,veterana,2025,BEAR,-36.4,-10.74,31.08,4,-10.74,31.08,4
ETHUSDT,veterana,2018,BEAR,-67.99,-12.65,28.44,4,-12.65,28.44,4
ETHUSDT,veterana,2019,LATERAL,-1.74,26.89,32.86,8,26.89,32.86,8
ETHUSDT,veterana,2020,BULL,470.16,269.05,35.3,5,269.05,35.3,5
ETHUSDT,veterana,2021,BULL,399.2,20.3,34.71,5,20.3,34.71,5
ETHUSDT,veterana,2022,BEAR,-67.46,-3.93,38.75,7,-3.93,38.75,7
ETHUSDT,veterana,2023,BULL,90.77,40.28,26.74,9,40.28,26.74,9
ETHUSDT,veterana,2024,BULL,46.27,36.7,34.43,8,11.29,46.62,9
ETHUSDT,veterana,2025,LATERAL,4.51,65.73,15.06,4,65.73,15.06,4
FETUSDT,nova,2019,BEAR,-88.76,-56.03,58.25,14,-56.03,58.25,14
FETUSDT,nova,2020,BULL,38.38,369.3,43.43,19,366.54,43.76,19
FETUSDT,nova,2021,BULL,873.84,126.4,70.24,25,168.43,62.67,25
FETUSDT,nova,2022,BEAR,-81.74,-29.12,51.94,23,-29.12,51.94,23
FETUSDT,nova,2023,BULL,634.17,222.09,53.27,26,213.76,53.52,26
FETUSDT,nova,2024,BULL,89.12,91.31,40.36,18,55.03,51.66,19
FETUSDT,nova,2025,BEAR,-49.21,-35.49,47.07,16,-32.54,46.82,16
FLOKIUSDT,nova,2023,LATERAL,8.24,44.27,26.74,13,-0.11,45.6,14
FLOKIUSDT,nova,2024,BULL,406.9,702.9,34.94,23,607.55,34.94,23
FLOKIUSDT,nova,2025,BEAR,-38.34,83.0,26.03,9,91.75,26.07,9
HBARUSDT,nova,2019,BEAR,-67.0,0.63,1.02,1,-25.44,26.56,2
HBARUSDT,nova,2020,BULL,211.55,120.9,62.47,14,120.9,62.47,14
HBARUSDT,nova,2021,BULL,812.35,27.49,72.23,12,30.89,72.23,12
HBARUSDT,nova,2022,BEAR,-87.42,-43.46,44.18,6,-43.46,44.18,6
HBARUSDT,nova,2023,BULL,135.34,39.91,37.16,14,41.2,37.16,14
HBARUSDT,nova,2024,BULL,212.79,-11.16,42.75,8,-11.16,42.75,8
HBARUSDT,nova,2025,LATERAL,-10.36,-39.2,40.94,6,-39.2,40.94,6
IMXUSDT,nova,2022,BEAR,-89.76,-59.22,68.56,13,-59.22,68.56,13
IMXUSDT,nova,2023,BULL,455.08,72.24,61.47,14,80.67,61.47,14
IMXUSDT,nova,2024,BEAR,-37.79,-26.07,45.61,9,-26.14,45.92,9
IMXUSDT,nova,2025,BEAR,-62.34,-26.94,38.06,6,-26.94,38.06,6
INJUSDT,nova,2020,BULL,912.05,0.0,0.0,0,0.0,0.0,0
INJUSDT,nova,2021,BULL,103.33,78.05,55.4,5,91.06,55.4,5
INJUSDT,nova,2022,BEAR,-84.52,-38.88,60.15,6,-38.88,60.15,6
INJUSDT,nova,2023,BULL,2704.31,239.48,54.02,10,249.93,52.6,10
INJUSDT,nova,2024,BEAR,-45.13,-48.1,60.52,8,-43.86,58.59,8
INJUSDT,nova,2025,BEAR,-36.03,-16.06,32.24,3,-24.0,36.26,3
LINKUSDT,veterana,2019,BULL,230.03,269.69,50.03,13,270.56,49.91,13
LINKUSDT,veterana,2020,BULL,535.61,907.19,31.53,8,907.19,31.53,8
LINKUSDT,veterana,2021,BULL,73.63,43.12,53.5,13,43.12,53.5,13
LINKUSDT,veterana,2022,BEAR,-71.44,-53.9,59.93,15,-53.9,59.93,15
