Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Retorno_ScaleOut_%,DD_ScaleOut_%,Retorno_Combinado_%,DD_Combinado_%
1MBABYDOGEUSDT,nova,2024,BULL,255.64,73.66,26.01,24.0,21.73,29.41,31.92
1MBABYDOGEUSDT,nova,2025,BEAR,-58.39,-13.63,29.58,-11.11,24.44,-18.2,33.67
API3USDT,nova,2022,BEAR,-75.73,-15.14,27.02,-4.43,16.65,-2.22,8.82
API3USDT,nova,2023,BULL,96.65,-29.67,60.06,-37.25,60.03,-39.41,66.64
API3USDT,nova,2024,LATERAL,-20.38,105.5,50.17,97.28,50.35,124.87,63.59
API3USDT,nova,2025,BEAR,-57.92,-11.39,43.56,-28.57,51.54,-36.39,57.33
BNBUSDT,veterana,2018,BEAR,-56.75,-12.58,15.65,-6.55,12.32,-6.55,12.32
BNBUSDT,veterana,2019,BULL,124.34,-4.07,15.98,-17.62,27.85,-26.43,39.34
BNBUSDT,veterana,2020,BULL,172.38,63.03,33.17,59.07,36.46,93.66,45.47
BNBUSDT,veterana,2021,BULL,1268.86,39.78,29.09,49.29,23.82,76.86,30.71
BNBUSDT,veterana,2022,BEAR,-51.85,-14.06,30.2,-15.05,29.29,-9.9,16.17
BNBUSDT,veterana,2023,BULL,26.59,54.43,14.26,49.97,14.5,57.67,13.25
BNBUSDT,veterana,2024,BULL,125.17,54.94,34.18,68.07,30.84,98.3,40.33
BNBUSDT,veterana,2025,LATERAL,7.8,8.12,12.36,-1.11,21.06,-2.87,30.57
BONKUSDT,nova,2023,BEAR,-31.71,0.0,0.0,0.0,0.0,0.0,0.0
BONKUSDT,nova,2024,BULL,129.41,9.91,57.26,209.97,41.23,329.71,52.64
BONKUSDT,nova,2025,LATERAL,-13.66,165.06,19.73,117.21,26.77,179.02,36.2
BTCUSDT,veterana,2018,BEAR,-50.8,-19.97,23.0,-17.61,20.72,-17.61,20.72
BTCUSDT,veterana,2019,BULL,94.4,88.54,43.46,79.06,38.04,50.56,51.04
BTCUSDT,veterana,2020,BULL,301.98,357.87,19.64,286.04,17.43,549.31,19.05
BTCUSDT,veterana,2021,BULL,59.79,19.79,50.07,44.06,43.06,57.09,56.33
BTCUSDT,veterana,2022,BEAR,-64.21,-44.29,48.99,-35.55,41.06,-25.41,31.68
BTCUSDT,veterana,2023,BULL,155.62,93.08,21.77,83.33,19.84,73.24,16.6
BTCUSDT,veterana,2024,BULL,121.31,40.39,37.53,31.82,32.05,41.98,42.36
BTCUSDT,veterana,2025,LATERAL,22.27,10.35,15.18,3.49,21.82,3.09,30.8
DOGEUSDT,veterana,2019,BEAR,-55.16,-7.59,13.85,-21.77,21.77,-31.78,31.78
DOGEUSDT,veterana,2020,BULL,131.97,174.95,38.38,126.46,37.0,216.02,46.96
DOGEUSDT,veterana,2021,BULL,3545.43,2065.33,57.72,1661.01,62.89,2736.45,67.51
DOGEUSDT,veterana,2022,BEAR,-58.75,-51.53,60.08,-42.92,58.8,-40.37,51.3
DOGEUSDT,veterana,2023,BULL,27.49,52.52,23.97,30.09,30.54,57.63,27.58
DOGEUSDT,veterana,2024,BULL,252.84,49.25,45.22,34.43,50.62,38.62,61.53
DOGEUSDT,veterana,2025,BEAR,-36.4,-10.74,31.08,-22.72,34.66,-25.64,42.34
ETHUSDT,veterana,2018,BEAR,-67.99,-12.65,28.44,-14.46,29.92,-14.46,29.92
ETHUSDT,veterana,2019,LATERAL,-1.74,26.89,32.86,20.75,44.65,-5.32,59.58
ETHUSDT,veterana,2020,BULL,470.16,269.05,35.3,416.48,29.4,742.6,37.15
ETHUSDT,veterana,2021,BULL,399.2,20.3,34.71,68.7,44.41,101.04,56.37
ETHUSDT,veterana,2022,BEAR,-67.46,-3.93,38.75,-7.81,34.47,-11.47,30.08
ETHUSDT,veterana,2023,BULL,90.77,40.28,26.74,36.94,32.06,31.77,32.45
ETHUSDT,veterana,2024,BULL,46.27,36.7,34.43,35.29,32.71,51.49,42.58
ETHUSDT,veterana,2025,LATERAL,4.51,65.73,15.06,50.0,12.36,75.31,18.21
FETUSDT,nova,2019,BEAR,-88.76,-56.03,58.25,-40.43,52.88,-33.8,52.88
FETUSDT,nova,2020,BULL,38.38,369.3,43.43,286.35,42.29,319.33,49.34
FETUSDT,nova,2021,BULL,873.84,126.4,70.24,196.07,44.99,252.41,60.53
FETUSDT,nova,2022,BEAR,-81.74,-29.12,51.94,-18.06,42.62,-27.01,48.73
FETUSDT,nova,2023,BULL,634.17,222.09,53.27,382.58,46.46,248.61,39.79
FETUSDT,nova,2024,BULL,89.12,91.31,40.36,70.63,40.33,76.58,53.91
FETUSDT,nova,2025,BEAR,-49.21,-35.49,47.07,-37.62,49.2,-55.38,64.51
FLOKIUSDT,nova,2023,LATERAL,8.24,44.27,26.74,4.6,27.16,3.59,37.23
FLOKIUSDT,nova,2024,BULL,406.9,702.9,34.94,914.31,34.94,1560.91,45.8
FLOKIUSDT,nova,2025,BEAR,-38.34,83.0,26.03,83.85,20.3,127.06,28.15
HBARUSDT,nova,2019,BEAR,-67.0,0.63,1.02,-13.93,15.22,-20.9,22.66
HBARUSDT,nova,2020,BULL,211.55,120.9,62.47,171.18,53.93,254.39,57.46
HBARUSDT,nova,2021,BULL,812.35,27.49,72.23,29.83,63.69,11.6,79.72
HBARUSDT,nova,2022,BEAR,-87.42,-43.46,44.18,-47.04,47.71,-48.42,49.4
HBARUSDT,nova,2023,BULL,135.34,39.91,37.16,19.81,31.27,23.36,37.71
HBARUSDT,nova,2024,BULL,212.79,-11.16,42.75,2.15,31.52,-3.77,41.08
HBARUSDT,nova,2025,LATERAL,-10.36,-39.2,40.94,-34.82,36.68,-50.12,52.23
IMXUSDT,nova,2022,BEAR,-89.76,-59.22,68.56,-64.83,73.05,-43.02,50.54
IMXUSDT,nova,2023,BULL,455.08,72.24,61.47,125.62,59.08,220.6,51.6
IMXUSDT,nova,2024,BEAR,-37.79,-26.07,45.61,-46.14,50.61,-63.41,66.65
IMXUSDT,nova,2025,BEAR,-62.34,-26.94,38.06,-22.11,36.64,-33.95,51.06
INJUSDT,nova,2020,BULL,912.05,0.0,0.0,0.0,0.0,0.0,0.0
INJUSDT,nova,2021,BULL,103.33,78.05,55.4,55.26,57.4,38.32,73.41
INJUSDT,nova,2022,BEAR,-84.52,-38.88,60.15,-6.44,44.52,-6.19,27.57
INJUSDT,nova,2023,BULL,2704.31,239.48,54.02,149.46,45.64,299.2,42.35
INJUSDT,nova,2024,BEAR,-45.13,-48.1,60.52,-31.35,40.59,-45.31,55.93
INJUSDT,nova,2025,BEAR,-36.03,-16.06,32.24,-19.48,32.47,-29.7,45.61
LINKUSDT,veterana,2019,BULL,230.03,269.69,50.03,225.52,55.28,210.06,62.59
LINKUSDT,veterana,2020,BULL,535.61,907.19,31.53,766.92,42.31,1089.84,47.83
LINKUSDT,veterana,2021,BULL,73.63,43.12,53.5,38.05,50.57,32.56,64.3
LINKUSDT,veterana,2022,BEAR,-71.44,-53.9,59.93,-49.4,56.71,-34.39,37.94
LINKUSDT,veterana,2023,BULL,168.0,118.41,24.35,79.87,24.69,120.45,24.79
LINKUSDT,veterana,2024,BULL,33.92,-7.43,45.4,-14.86,46.45,-26.92,61.31
LINKUSDT,veterana,2025,LATERAL,-18.63,-25.22,34.41,-34.61,42.93,-49.12,58.3
PENGUUSDT,nova,2024,BULL,887.44,0.0,0.0,0.0,0.0,0.0,0.0
