Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_ScaleOut_%,DD_ScaleOut_%,Retorno_ScaleOutTrailing_%,DD_ScaleOutTrailing_%
1MBABYDOGEUSDT,nova,2024,BULL,255.64,24.0,21.73,44.92,30.93
1MBABYDOGEUSDT,nova,2025,BEAR,-58.39,-11.11,24.44,-10.04,29.91
API3USDT,nova,2022,BEAR,-75.73,-4.43,16.65,-21.91,29.81
API3USDT,nova,2023,BULL,96.65,-37.25,60.03,-35.69,62.4
API3USDT,nova,2024,LATERAL,-20.38,97.28,50.35,57.68,57.77
API3USDT,nova,2025,BEAR,-57.92,-28.57,51.54,-26.62,50.53
BNBUSDT,veterana,2018,BEAR,-56.75,-6.55,12.32,-12.97,16.03
BNBUSDT,veterana,2019,BULL,124.34,-17.62,27.85,-7.67,19.13
BNBUSDT,veterana,2020,BULL,172.38,59.07,36.46,107.75,32.97
BNBUSDT,veterana,2021,BULL,1268.86,49.29,23.82,47.88,24.54
BNBUSDT,veterana,2022,BEAR,-51.85,-15.05,29.29,-24.41,34.56
BNBUSDT,veterana,2023,BULL,26.59,49.97,14.5,50.49,14.43
BNBUSDT,veterana,2024,BULL,125.17,68.07,30.84,70.9,29.47
BNBUSDT,veterana,2025,LATERAL,7.8,-1.11,21.06,-0.96,18.74
BONKUSDT,nova,2023,BEAR,-31.71,0.0,0.0,0.0,0.0
BONKUSDT,nova,2024,BULL,129.41,209.97,41.23,-5.08,61.48
BONKUSDT,nova,2025,LATERAL,-13.66,117.21,26.77,74.25,22.5
BTCUSDT,veterana,2018,BEAR,-50.8,-17.61,20.72,-19.31,22.35
BTCUSDT,veterana,2019,BULL,94.4,79.06,38.04,73.8,34.92
BTCUSDT,veterana,2020,BULL,301.98,286.04,17.43,347.87,18.17
BTCUSDT,veterana,2021,BULL,59.79,44.06,43.06,67.12,35.27
BTCUSDT,veterana,2022,BEAR,-64.21,-35.55,41.06,-49.51,53.68
BTCUSDT,veterana,2023,BULL,155.62,83.33,19.84,101.7,20.52
BTCUSDT,veterana,2024,BULL,121.31,31.82,32.05,58.16,29.92
BTCUSDT,veterana,2025,LATERAL,22.27,3.49,21.82,11.6,17.04
DOGEUSDT,veterana,2019,BEAR,-55.16,-21.77,21.77,-11.12,15.97
DOGEUSDT,veterana,2020,BULL,131.97,126.46,37.0,157.79,38.38
DOGEUSDT,veterana,2021,BULL,3545.43,1661.01,62.89,2012.12,59.34
DOGEUSDT,veterana,2022,BEAR,-58.75,-42.92,58.8,-49.63,62.6
DOGEUSDT,veterana,2023,BULL,27.49,30.09,30.54,41.75,25.6
DOGEUSDT,veterana,2024,BULL,252.84,34.43,50.62,33.16,51.21
DOGEUSDT,veterana,2025,BEAR,-36.4,-22.72,34.66,-22.65,38.3
ETHUSDT,veterana,2018,BEAR,-67.99,-14.46,29.92,-12.63,28.42
ETHUSDT,veterana,2019,LATERAL,-1.74,20.75,44.65,24.04,32.74
ETHUSDT,veterana,2020,BULL,470.16,416.48,29.4,284.85,30.47
ETHUSDT,veterana,2021,BULL,399.2,68.7,44.41,11.39,36.34
ETHUSDT,veterana,2022,BEAR,-67.46,-7.81,34.47,-15.15,41.29
ETHUSDT,veterana,2023,BULL,90.77,36.94,32.06,42.25,31.01
ETHUSDT,veterana,2024,BULL,46.27,35.29,32.71,30.27,36.88
ETHUSDT,veterana,2025,LATERAL,4.51,50.0,12.36,32.65,12.36
FETUSDT,nova,2019,BEAR,-88.76,-40.43,52.88,-50.82,55.64
FETUSDT,nova,2020,BULL,38.38,286.35,42.29,165.39,54.08
FETUSDT,nova,2021,BULL,873.84,196.07,44.99,156.32,68.71
FETUSDT,nova,2022,BEAR,-81.74,-18.06,42.62,-53.93,62.99
FETUSDT,nova,2023,BULL,634.17,382.58,46.46,313.81,45.69
FETUSDT,nova,2024,BULL,89.12,70.63,40.33,52.55,41.84
FETUSDT,nova,2025,BEAR,-49.21,-37.62,49.2,-24.95,45.13
FLOKIUSDT,nova,2023,LATERAL,8.24,4.6,27.16,22.82,34.3
FLOKIUSDT,nova,2024,BULL,406.9,914.31,34.94,553.15,34.94
FLOKIUSDT,nova,2025,BEAR,-38.34,83.85,20.3,119.99,18.28
HBARUSDT,nova,2019,BEAR,-67.0,-13.93,15.22,-3.78,5.22
HBARUSDT,nova,2020,BULL,211.55,171.18,53.93,120.98,64.38
HBARUSDT,nova,2021,BULL,812.35,29.83,63.69,1.47,75.84
HBARUSDT,nova,2022,BEAR,-87.42,-47.04,47.71,-43.77,44.49
HBARUSDT,nova,2023,BULL,135.34,19.81,31.27,17.04,32.0
HBARUSDT,nova,2024,BULL,212.79,2.15,31.52,-26.13,50.48
HBARUSDT,nova,2025,LATERAL,-10.36,-34.82,36.68,-44.94,46.52
IMXUSDT,nova,2022,BEAR,-89.76,-64.83,73.05,-66.34,74.05
IMXUSDT,nova,2023,BULL,455.08,125.62,59.08,175.9,48.57
IMXUSDT,nova,2024,BEAR,-37.79,-46.14,50.61,-44.81,48.47
IMXUSDT,nova,2025,BEAR,-62.34,-22.11,36.64,-35.56,43.51
INJUSDT,nova,2020,BULL,912.05,0.0,0.0,0.0,0.0
INJUSDT,nova,2021,BULL,103.33,55.26,57.4,32.19,63.73
INJUSDT,nova,2022,BEAR,-84.52,-6.44,44.52,-41.5,57.38
