Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Trades_Base,Retorno_VolFiltro_%,DD_VolFiltro_%,Trades_VolFiltro
1MBABYDOGEUSDT,nova,2024,BULL,255.64,73.66,26.01,3,-13.91,16.53,2
1MBABYDOGEUSDT,nova,2025,BEAR,-58.39,-13.63,29.58,9,9.92,21.1,5
API3USDT,nova,2022,BEAR,-75.73,-15.14,27.02,2,0.0,0.0,0
API3USDT,nova,2023,BULL,96.65,-29.67,60.06,8,-25.74,57.83,6
API3USDT,nova,2024,LATERAL,-20.38,105.5,50.17,5,-9.29,39.49,4
API3USDT,nova,2025,BEAR,-57.92,-11.39,43.56,3,-11.39,43.56,3
BNBUSDT,veterana,2018,BEAR,-56.75,-12.58,15.65,2,-12.58,15.65,2
BNBUSDT,veterana,2019,BULL,124.34,-4.07,15.98,1,-4.07,15.98,1
BNBUSDT,veterana,2020,BULL,172.38,63.03,33.17,5,65.7,30.83,3
BNBUSDT,veterana,2021,BULL,1268.86,39.78,29.09,4,20.59,19.76,1
BNBUSDT,veterana,2022,BEAR,-51.85,-14.06,30.2,7,8.99,24.89,2
BNBUSDT,veterana,2023,BULL,26.59,54.43,14.26,6,48.8,12.13,3
BNBUSDT,veterana,2024,BULL,125.17,54.94,34.18,7,69.74,28.64,4
BNBUSDT,veterana,2025,LATERAL,7.8,8.12,12.36,5,-1.13,8.47,4
BONKUSDT,nova,2023,BEAR,-31.71,0.0,0.0,0,0.0,0.0,0
BONKUSDT,nova,2024,BULL,129.41,9.91,57.26,13,46.16,48.12,10
BONKUSDT,nova,2025,LATERAL,-13.66,165.06,19.73,8,26.65,24.41,5
BTCUSDT,veterana,2018,BEAR,-50.8,-19.97,23.0,6,-17.94,21.04,4
BTCUSDT,veterana,2019,BULL,94.4,88.54,43.46,8,97.86,39.39,6
BTCUSDT,veterana,2020,BULL,301.98,357.87,19.64,13,91.49,14.82,9
BTCUSDT,veterana,2021,BULL,59.79,19.79,50.07,12,-8.99,29.31,3
BTCUSDT,veterana,2022,BEAR,-64.21,-44.29,48.99,14,-28.81,34.69,8
BTCUSDT,veterana,2023,BULL,155.62,93.08,21.77,14,39.24,16.61,10
BTCUSDT,veterana,2024,BULL,121.31,40.39,37.53,14,15.72,24.49,10
BTCUSDT,veterana,2025,LATERAL,22.27,10.35,15.18,7,-16.31,18.35,4
DOGEUSDT,veterana,2019,BEAR,-55.16,-7.59,13.85,2,-7.59,13.85,2
DOGEUSDT,veterana,2020,BULL,131.97,174.95,38.38,5,182.76,38.38,4
DOGEUSDT,veterana,2021,BULL,3545.43,2065.33,57.72,8,2281.78,57.72,7
DOGEUSDT,veterana,2022,BEAR,-58.75,-51.53,60.08,13,-39.34,55.68,11
DOGEUSDT,veterana,2023,BULL,27.49,52.52,23.97,7,46.52,19.21,4
DOGEUSDT,veterana,2024,BULL,252.84,49.25,45.22,7,58.32,41.83,5
DOGEUSDT,veterana,2025,BEAR,-36.4,-10.74,31.08,4,9.96,28.77,2
ETHUSDT,veterana,2018,BEAR,-67.99,-12.65,28.44,4,7.18,21.95,1
