ativo,timeframe,horizonte_candles,horizonte_horas,cenario_taxa,cenario_slippage,breakeven_%,frac_movimentos_supera_breakeven_%
BTCUSDT,5m,12,1.0,sem_BNB,otimista,0.26,37.7
BTCUSDT,5m,12,1.0,sem_BNB,conservador,0.4,22.1
BTCUSDT,5m,12,1.0,com_BNB,otimista,0.21,46.0
BTCUSDT,5m,12,1.0,com_BNB,conservador,0.35,26.4
BTCUSDT,5m,36,3.0,sem_BNB,otimista,0.26,57.7
BTCUSDT,5m,36,3.0,sem_BNB,conservador,0.4,42.5
BTCUSDT,5m,36,3.0,com_BNB,otimista,0.21,64.3
BTCUSDT,5m,36,3.0,com_BNB,conservador,0.35,47.7
BTCUSDT,15m,4,1.0,sem_BNB,otimista,0.26,37.3
BTCUSDT,15m,4,1.0,sem_BNB,conservador,0.4,22.0
BTCUSDT,15m,4,1.0,com_BNB,otimista,0.21,45.5
BTCUSDT,15m,4,1.0,com_BNB,conservador,0.35,26.5
BTCUSDT,15m,12,3.0,sem_BNB,otimista,0.26,57.8
BTCUSDT,15m,12,3.0,sem_BNB,conservador,0.4,42.6
BTCUSDT,15m,12,3.0,com_BNB,otimista,0.21,64.6
BTCUSDT,15m,12,3.0,com_BNB,conservador,0.35,48.0
ETHUSDT,5m,12,1.0,sem_BNB,otimista,0.26,46.2
ETHUSDT,5m,12,1.0,sem_BNB,conservador,0.4,30.0
ETHUSDT,5m,12,1.0,com_BNB,otimista,0.21,54.1
ETHUSDT,5m,12,1.0,com_BNB,conservador,0.35,35.0
ETHUSDT,5m,36,3.0,sem_BNB,otimista,0.26,64.1
ETHUSDT,5m,36,3.0,sem_BNB,conservador,0.4,50.5
ETHUSDT,5m,36,3.0,com_BNB,otimista,0.21,70.1
ETHUSDT,5m,36,3.0,com_BNB,conservador,0.35,54.8
ETHUSDT,15m,4,1.0,sem_BNB,otimista,0.26,46.1
ETHUSDT,15m,4,1.0,sem_BNB,conservador,0.4,29.6
ETHUSDT,15m,4,1.0,com_BNB,otimista,0.21,54.2
ETHUSDT,15m,4,1.0,com_BNB,conservador,0.35,35.0
ETHUSDT,15m,12,3.0,sem_BNB,otimista,0.26,64.2
ETHUSDT,15m,12,3.0,sem_BNB,conservador,0.4,50.8
ETHUSDT,15m,12,3.0,com_BNB,otimista,0.21,70.4
ETHUSDT,15m,12,3.0,com_BNB,conservador,0.35,55.0
