mult_compra,mult_venda,n_trades,net_pct_medio,win_rate_liquido_pct,calmar_medio,confiavel,score_robustez_net_pct
2,2,1058,-0.2983,35.1,-0.799,True,-0.2802
2,3,975,-0.2689,38.6,-0.788,True,-0.28058
2,4,954,-0.2507,39.5,-0.764,True,-0.25765
2,5,946,-0.2283,40.1,-0.752,True,-0.2555
2,6,945,-0.227,40.0,-0.748,True,-0.23981666666666668
2,8,943,-0.2235,40.4,-0.73,True,-0.22803333333333334
2,10,941,-0.2198,40.6,-0.726,True,-0.22803333333333334
2,12,941,-0.2198,40.6,-0.726,True,-0.22581666666666667
2,15,940,-0.2161,40.6,-0.721,True,-0.22894
2,20,940,-0.2161,40.6,-0.721,True,-0.22116666666666665
3,2,515,-0.3107,34.4,-0.745,True,-0.27546
3,3,492,-0.287,37.8,-0.679,True,-0.2746222222222222
3,4,487,-0.288,38.2,-0.684,True,-0.24950999999999998
3,5,484,-0.2445,39.7,-0.611,True,-0.24714999999999998
3,6,484,-0.238,40.1,-0.594,True,-0.23251
3,8,484,-0.2389,40.3,-0.591,True,-0.22862
3,10,483,-0.2406,40.2,-0.586,True,-0.22922000000000003
3,12,483,-0.2406,40.2,-0.586,True,-0.22782
3,15,482,-0.229,40.2,-0.539,True,-0.22066666666666668
3,20,482,-0.229,40.2,-0.539,True,-0.22708
4,2,273,-0.2792,35.9,-0.59,True,-0.28446666666666665
4,3,265,-0.2708,38.9,-0.508,True,-0.28298
4,4,264,-0.2666,40.5,-0.498,True,-0.2725416666666667
4,5,262,-0.2055,42.7,-0.395,True,-0.2733333333333334
4,6,262,-0.2037,42.7,-0.39,True,-0.26610833333333334
4,8,262,-0.2102,42.7,-0.393,True,-0.2601583333333333
4,10,262,-0.2055,42.7,-0.378,True,-0.26159166666666667
4,12,262,-0.2055,42.7,-0.378,True,-0.26098333333333334
4,15,262,-0.2055,42.7,-0.378,True,-0.26199
4,20,262,-0.2055,42.7,-0.378,True,-0.25905
5,2,170,-0.2661,35.9,-0.522,True,-0.3068
5,3,167,-0.2833,38.3,-0.462,True,-0.29447999999999996
5,4,167,-0.2979,39.5,-0.465,True,-0.29000833333333337
5,5,166,-0.282,41.0,-0.446,True,-0.2905916666666667
5,6,166,-0.282,41.0,-0.446,True,-0.2833333333333333
5,8,166,-0.2922,41.0,-0.448,True,-0.2772
5,10,166,-0.2922,41.0,-0.448,True,-0.27944166666666664
5,12,166,-0.2922,41.0,-0.448,True,-0.2814916666666667
5,15,166,-0.2922,41.0,-0.448,True,-0.26908000000000004
5,20,166,-0.2922,41.0,-0.448,True,-0.2826
6,2,106,-0.2755,35.8,-0.487,True,-0.3216833333333333
6,3,106,-0.2837,37.7,-0.421,True,-0.34278
6,4,106,-0.3155,38.7,-0.454,True,-0.332625
6,5,106,-0.2761,40.6,-0.396,True,-0.3358083333333333
6,6,106,-0.2761,40.6,-0.396,True,-0.345375
6,8,106,-0.2921,40.6,-0.399,True,-0.34028333333333327
6,10,106,-0.2921,40.6,-0.399,True,-0.34735
6,12,106,-0.2921,40.6,-0.399,True,-0.35352500000000003
6,15,106,-0.2921,40.6,-0.399,True,-0.36228
6,20,106,-0.2921,40.6,-0.399,True,-0.35313333333333335
8,2,51,-0.4325,33.3,-0.34,True,-0.21328333333333335
8,3,51,-0.3776,35.3,-0.228,True,-0.29399999999999993
8,4,51,-0.4438,35.3,-0.321,True,-0.21430833333333335
8,5,51,-0.4267,35.3,-0.308,True,-0.23907499999999995
8,6,51,-0.4267,35.3,-0.308,True,-0.25857499999999994
8,8,51,-0.4598,35.3,-0.312,True,-0.25725
8,10,51,-0.4598,35.3,-0.312,True,-0.27118333333333333
8,12,51,-0.4598,35.3,-0.312,True,-0.27203333333333335
8,15,51,-0.4598,35.3,-0.312,True,-0.3035
8,20,51,-0.4598,35.3,-0.312,True,-0.27203333333333335
10,2,25,-0.4277,32.0,-0.316,True,-0.20888333333333334
10,3,25,-0.2386,40.0,-0.154,True,-0.20857
10,4,25,-0.3417,40.0,-0.189,True,-0.23228333333333331
10,5,25,-0.3417,40.0,-0.189,True,-0.2671666666666667
10,6,25,-0.3417,40.0,-0.189,True,-0.27248333333333336
10,8,25,-0.4093,40.0,-0.2,True,-0.26920000000000005
10,10,25,-0.4093,40.0,-0.2,True,-0.27471666666666666
10,12,25,-0.4093,40.0,-0.2,True,-0.27604999999999996
10,15,25,-0.4093,40.0,-0.2,True,-0.24503000000000003
10,20,25,-0.4093,40.0,-0.2,True,-0.27605
12,2,9,0.1938,55.6,0.472,False,-0.15134999999999998
12,3,9,0.1938,55.6,0.472,False,-0.3093000000000001
12,4,9,0.0628,55.6,0.294,False,-0.1661666666666667
12,5,9,0.0628,55.6,0.294,False,-0.18153333333333332
12,6,9,0.0628,55.6,0.294,False,-0.19831666666666678
12,8,9,0.0628,55.6,0.294,False,-0.1968916666666667
12,10,9,0.0628,55.6,0.294,False,-0.20815833333333345
12,12,9,0.0628,55.6,0.294,False,-0.21091666666666672
12,15,9,0.0628,55.6,0.294,False,-0.32245000000000007
12,20,9,0.0628,55.6,0.294,False,-0.21091666666666667
15,2,2,-0.5702,50.0,-0.206,False,0.47050000000000003
15,3,2,-0.5702,50.0,-0.206,False,0.5316333333333333
15,4,2,-0.5702,50.0,-0.206,False,0.43570000000000003
15,5,2,-0.5702,50.0,-0.206,False,0.42164999999999997
15,6,2,-0.5702,50.0,-0.206,False,0.41133999999999993
