candidata,usar_volume,timeframe,janela,data_ini,data_fim,n_trades,net_pct_medio,net_pct_soma,win_rate_liquido_pct,regime_vol_dominante,regime_tendencia_dominante
volume_puro,False,4h,0,2025-02-12 20:00:00,2025-03-11 16:00:00,26,-0.6309,-16.4033,30.8,alta,lateral
volume_puro,False,4h,1,2025-03-13 16:00:00,2025-04-07 16:00:00,30,-1.4207,-42.62,23.3,alta,lateral
volume_puro,False,4h,2,2025-04-09 20:00:00,2025-04-27 16:00:00,15,1.7653,26.4798,53.3,media,lateral
volume_puro,False,4h,3,2025-05-08 04:00:00,2025-06-04 16:00:00,26,2.3202,60.3249,57.7,alta,bull
volume_puro,False,4h,4,2025-06-06 00:00:00,2025-06-30 20:00:00,20,-1.6806,-33.613,25.0,alta,lateral
volume_puro,False,4h,5,2025-07-02 20:00:00,2025-07-29 04:00:00,31,1.7573,54.4772,54.8,alta,lateral
volume_puro,False,4h,6,2025-08-07 12:00:00,2025-08-22 16:00:00,20,-0.4932,-9.8636,30.0,alta,bull
volume_puro,False,4h,7,2025-08-28 16:00:00,2025-09-24 08:00:00,17,1.147,19.4992,47.1,media,lateral
volume_puro,False,4h,8,2025-09-25 16:00:00,2025-10-21 16:00:00,22,0.9745,21.4397,54.5,alta,lateral
volume_puro,False,4h,9,2025-10-23 16:00:00,2025-11-14 16:00:00,19,-0.2051,-3.897,47.4,alta,lateral
volume_puro,False,4h,10,2025-11-21 16:00:00,2025-12-16 16:00:00,23,-1.5745,-36.2135,26.1,alta,lateral
volume_puro,False,4h,11,2025-12-18 16:00:00,2026-01-14 00:00:00,25,-0.1331,-3.327,48.0,media,lateral
volume_puro,False,4h,12,2026-01-21 20:00:00,2026-02-06 04:00:00,9,2.359,21.2312,55.6,alta,bear
volume_puro,False,4h,13,2026-02-14 20:00:00,2026-03-10 16:00:00,17,-2.0822,-35.398,23.5,alta,lateral
volume_puro,False,4h,14,2026-03-13 04:00:00,2026-04-08 00:00:00,25,-2.1132,-52.8307,20.0,alta,lateral
volume_puro,False,4h,15,2026-04-13 16:00:00,2026-05-06 12:00:00,23,0.441,10.1426,47.8,media,lateral
volume_puro,False,4h,16,2026-05-08 20:00:00,2026-06-01 12:00:00,15,-3.2563,-48.8441,6.7,media,lateral
volume_puro,False,4h,17,2026-06-04 04:00:00,2026-06-15 20:00:00,9,-2.1983,-19.7845,11.1,media,lateral
volume_puro,False,1d,0,2025-03-03 00:00:00,2025-03-03 00:00:00,2,-19.8619,-39.7238,0.0,alta,lateral
volume_puro,False,1d,1,2025-04-08 00:00:00,2025-04-10 00:00:00,6,-5.3423,-32.0535,0.0,alta,lateral
volume_puro,False,1d,2,2025-05-09 00:00:00,2025-05-13 00:00:00,5,2.9095,14.5473,60.0,alta,bull
volume_puro,False,1d,3,2025-06-17 00:00:00,2025-06-17 00:00:00,1,-0.9182,-0.9182,0.0,alta,lateral
volume_puro,False,1d,4,2025-07-12 00:00:00,2025-07-19 00:00:00,8,3.6912,29.5292,75.0,alta,bull
volume_puro,False,1d,5,2025-07-21 00:00:00,2025-08-13 00:00:00,4,-5.2658,-21.0632,0.0,alta,bull
volume_puro,False,1d,6,2025-08-19 00:00:00,2025-09-14 00:00:00,2,-6.6041,-13.2082,0.0,alta,bull
volume_puro,False,1d,7,2025-10-08 00:00:00,2025-10-12 00:00:00,2,1.6944,3.3887,50.0,alta,bull
volume_puro,False,1d,8,2025-11-05 00:00:00,2025-11-05 00:00:00,1,1.8305,1.8305,100.0,alta,lateral
volume_puro,False,1d,10,2025-12-20 00:00:00,2026-01-03 00:00:00,2,2.9973,5.9945,50.0,baixa,lateral
volume_puro,False,1d,11,2026-01-06 00:00:00,2026-01-14 00:00:00,2,-2.1152,-4.2303,50.0,alta,lateral
volume_puro,False,1d,12,2026-02-03 00:00:00,2026-02-07 00:00:00,8,-4.3908,-35.1261,0.0,alta,bear
volume_puro,False,1d,15,2026-04-30 00:00:00,2026-05-15 00:00:00,3,3.6884,11.0651,66.7,media,lateral
volume_puro,False,1d,16,2026-05-31 00:00:00,2026-05-31 00:00:00,1,-4.2877,-4.2877,0.0,alta,lateral
