candidata,usar_volume,timeframe,janela,data_ini,data_fim,n_trades,net_pct_medio,net_pct_soma,win_rate_liquido_pct,regime_vol_dominante,regime_tendencia_dominante
mean_reversion,False,15m,0,2025-02-06 11:30:00,2025-03-06 10:30:00,585,-0.2865,-167.6182,41.5,alta,lateral
mean_reversion,False,15m,1,2025-03-06 11:45:00,2025-04-03 11:00:00,524,-0.3269,-171.2811,37.6,alta,lateral
mean_reversion,False,15m,2,2025-04-03 12:30:00,2025-04-30 14:00:00,449,-0.2996,-134.5045,39.2,alta,lateral
mean_reversion,False,15m,3,2025-05-01 13:45:00,2025-05-29 04:30:00,337,-0.1912,-64.4216,46.6,alta,lateral
mean_reversion,False,15m,4,2025-05-29 12:45:00,2025-06-26 11:00:00,528,-0.3805,-200.9089,33.3,media,lateral
mean_reversion,False,15m,5,2025-06-26 11:30:00,2025-07-24 07:00:00,324,-0.2038,-66.0185,39.8,baixa,lateral
mean_reversion,False,15m,6,2025-07-24 22:00:00,2025-08-21 09:30:00,424,-0.3706,-157.1444,33.5,alta,lateral
mean_reversion,False,15m,7,2025-08-21 15:15:00,2025-09-18 06:30:00,437,-0.3068,-134.0763,35.0,media,lateral
mean_reversion,False,15m,8,2025-09-18 17:45:00,2025-10-15 17:45:00,497,-0.2732,-135.7774,33.8,media,lateral
mean_reversion,False,15m,9,2025-10-16 14:15:00,2025-11-13 03:15:00,573,-0.2953,-169.2274,40.7,alta,lateral
mean_reversion,False,15m,10,2025-11-13 13:45:00,2025-12-11 03:45:00,619,-0.2365,-146.3942,41.4,alta,lateral
mean_reversion,False,15m,11,2025-12-11 15:00:00,2026-01-08 08:15:00,414,-0.3064,-126.8498,35.5,baixa,lateral
mean_reversion,False,15m,12,2026-01-08 11:30:00,2026-02-05 11:15:00,536,-0.3166,-169.6939,37.3,baixa,lateral
mean_reversion,False,15m,13,2026-02-05 11:30:00,2026-03-05 04:00:00,482,-0.3697,-178.1856,34.4,alta,bear
mean_reversion,False,15m,14,2026-03-05 13:30:00,2026-04-02 11:15:00,461,-0.383,-176.5704,31.2,media,lateral
mean_reversion,False,15m,15,2026-04-02 12:30:00,2026-04-30 04:45:00,379,-0.2821,-106.9161,34.3,baixa,lateral
mean_reversion,False,15m,16,2026-04-30 17:30:00,2026-05-28 11:00:00,422,-0.2563,-108.1755,38.2,baixa,lateral
mean_reversion,False,15m,17,2026-05-28 13:30:00,2026-06-19 05:00:00,425,-0.2173,-92.3392,41.6,media,lateral
mean_reversion,True,15m,0,2025-02-06 12:45:00,2025-03-06 11:45:00,396,-0.3381,-133.9052,38.4,alta,lateral
mean_reversion,True,15m,1,2025-03-06 14:00:00,2025-04-03 12:30:00,365,-0.3104,-113.2933,38.6,alta,lateral
mean_reversion,True,15m,2,2025-04-03 12:45:00,2025-04-30 14:00:00,350,-0.3074,-107.5933,38.3,alta,lateral
mean_reversion,True,15m,3,2025-05-01 13:45:00,2025-05-29 04:30:00,240,-0.1969,-47.2622,46.2,alta,lateral
mean_reversion,True,15m,4,2025-05-29 12:45:00,2025-06-26 12:30:00,396,-0.3958,-156.7409,32.1,media,lateral
mean_reversion,True,15m,5,2025-06-26 13:00:00,2025-07-24 07:00:00,230,-0.1535,-35.3023,42.2,alta,lateral
mean_reversion,True,15m,6,2025-07-24 22:15:00,2025-08-21 09:30:00,314,-0.3774,-118.5091,33.4,alta,lateral
mean_reversion,True,15m,7,2025-08-21 15:15:00,2025-09-18 06:15:00,328,-0.3422,-112.2559,34.5,media,lateral
mean_reversion,True,15m,8,2025-09-18 23:00:00,2025-10-15 15:45:00,374,-0.2065,-77.2134,35.6,media,lateral
mean_reversion,True,15m,9,2025-10-16 14:30:00,2025-11-13 03:15:00,443,-0.3053,-135.2532,40.4,alta,lateral
mean_reversion,True,15m,10,2025-11-13 13:45:00,2025-12-11 04:00:00,417,-0.1537,-64.0741,46.0,alta,lateral
mean_reversion,True,15m,11,2025-12-11 15:00:00,2026-01-08 11:30:00,315,-0.3063,-96.4836,36.2,baixa,lateral
mean_reversion,True,15m,12,2026-01-08 14:30:00,2026-02-05 12:30:00,440,-0.3149,-138.5622,38.2,baixa,lateral
mean_reversion,True,15m,13,2026-02-05 15:15:00,2026-03-05 04:00:00,348,-0.4061,-141.3326,32.2,alta,bear
mean_reversion,True,15m,14,2026-03-05 13:30:00,2026-04-02 11:15:00,340,-0.355,-120.6847,32.6,media,lateral
mean_reversion,True,15m,15,2026-04-02 13:00:00,2026-04-30 04:45:00,276,-0.3025,-83.4981,32.2,baixa,lateral
mean_reversion,True,15m,16,2026-04-30 17:30:00,2026-05-28 10:45:00,326,-0.2748,-89.5872,38.3,baixa,lateral
mean_reversion,True,15m,17,2026-05-28 13:30:00,2026-06-19 04:45:00,328,-0.2573,-84.4033,39.6,media,lateral
momentum,False,15m,0,2025-02-06 00:30:00,2025-03-05 19:15:00,363,-0.2686,-97.5187,33.3,alta,lateral
momentum,False,15m,1,2025-03-06 01:45:00,2025-04-02 19:15:00,372,-0.3259,-121.2185,32.5,alta,lateral
momentum,False,15m,2,2025-04-03 02:00:00,2025-04-30 20:15:00,383,-0.2959,-113.3367,31.6,alta,lateral
momentum,False,15m,3,2025-05-01 01:00:00,2025-05-28 23:30:00,380,-0.2998,-113.9362,31.6,alta,lateral
momentum,False,15m,4,2025-05-29 02:45:00,2025-06-25 21:00:00,372,-0.2911,-108.2836,32.5,media,lateral
momentum,False,15m,5,2025-06-26 00:30:00,2025-07-23 22:45:00,443,-0.1781,-78.8762,33.4,baixa,lateral
momentum,False,15m,6,2025-07-24 08:30:00,2025-08-20 19:15:00,379,-0.2117,-80.2517,36.9,media,lateral
momentum,False,15m,7,2025-08-21 05:00:00,2025-09-17 20:15:00,412,-0.2585,-106.5031,32.8,media,lateral
momentum,False,15m,8,2025-09-18 08:00:00,2025-10-15 18:30:00,351,-0.2256,-79.1807,29.6,media,lateral
momentum,False,15m,9,2025-10-16 02:00:00,2025-11-12 21:45:00,397,-0.3248,-128.9584,29.0,media,lateral
momentum,False,15m,10,2025-11-13 01:15:00,2025-12-10 23:15:00,427,-0.348,-148.6005,27.6,alta,lateral
momentum,False,15m,11,2025-12-11 05:00:00,2026-01-07 08:30:00,386,-0.2697,-104.1112,26.4,baixa,lateral
momentum,False,15m,12,2026-01-08 01:15:00,2026-02-04 20:00:00,391,-0.4334,-169.449,21.7,baixa,lateral
momentum,False,15m,13,2026-02-05 08:45:00,2026-03-04 08:00:00,358,-0.3796,-135.8838,27.9,alta,bear
momentum,False,15m,14,2026-03-05 05:00:00,2026-04-01 22:00:00,386,-0.3476,-134.1686,26.7,media,lateral
momentum,False,15m,15,2026-04-02 00:45:00,2026-04-30 00:15:00,393,-0.2269,-89.1873,29.0,baixa,lateral
momentum,False,15m,16,2026-04-30 00:45:00,2026-05-27 21:30:00,411,-0.3073,-126.3148,27.3,baixa,lateral
momentum,False,15m,17,2026-05-28 13:15:00,2026-06-19 09:30:00,313,-0.3956,-123.8309,24.0,baixa,lateral
momentum,True,15m,0,2025-02-06 12:30:00,2025-03-06 08:15:00,109,-0.2184,-23.8093,33.0,alta,lateral
momentum,True,15m,1,2025-03-06 22:15:00,2025-04-02 14:00:00,103,-0.4884,-50.3064,25.2,alta,lateral
momentum,True,15m,2,2025-04-04 06:00:00,2025-04-30 20:15:00,101,-0.365,-36.8655,31.7,alta,lateral
momentum,True,15m,3,2025-05-01 15:00:00,2025-05-29 11:30:00,96,-0.2174,-20.8684,34.4,media,lateral
momentum,True,15m,4,2025-05-29 22:30:00,2025-06-26 08:15:00,111,-0.2828,-31.3896,36.0,baixa,lateral
momentum,True,15m,5,2025-06-26 20:45:00,2025-07-23 11:00:00,106,-0.2875,-30.4771,34.9,baixa,lateral
momentum,True,15m,6,2025-07-24 14:45:00,2025-08-21 09:45:00,132,-0.2516,-33.2157,34.8,media,lateral
momentum,True,15m,7,2025-08-21 14:30:00,2025-09-17 18:30:00,127,-0.2892,-36.7279,30.7,media,lateral
momentum,True,15m,8,2025-09-18 14:15:00,2025-10-16 10:00:00,97,-0.1428,-13.8471,32.0,baixa,lateral
momentum,True,15m,9,2025-10-17 16:15:00,2025-11-13 04:30:00,130,-0.194,-25.2225,37.7,media,lateral
momentum,True,15m,10,2025-11-13 15:15:00,2025-12-11 09:15:00,110,-0.3116,-34.2803,30.0,alta,lateral
momentum,True,15m,11,2025-12-11 15:30:00,2026-01-07 07:45:00,130,-0.3044,-39.5712,26.9,baixa,lateral
momentum,True,15m,12,2026-01-09 01:30:00,2026-02-05 09:15:00,124,-0.4112,-50.9877,25.0,baixa,lateral
momentum,True,15m,13,2026-02-06 10:15:00,2026-03-05 10:45:00,109,-0.3253,-35.4591,33.0,alta,bear
momentum,True,15m,14,2026-03-05 21:30:00,2026-04-02 00:45:00,128,-0.3699,-47.3516,28.1,media,lateral
momentum,True,15m,15,2026-04-02 14:45:00,2026-04-30 07:45:00,130,-0.2395,-31.1304,30.0,baixa,lateral
momentum,True,15m,16,2026-04-30 13:45:00,2026-05-27 21:30:00,142,-0.2765,-39.2684,35.2,baixa,lateral
momentum,True,15m,17,2026-05-28 13:15:00,2026-06-18 12:30:00,83,-0.3735,-30.9997,33.7,baixa,lateral
rompimento,False,15m,0,2025-02-06 05:15:00,2025-03-06 05:00:00,519,-0.2881,-149.5236,31.0,alta,lateral
rompimento,False,15m,1,2025-03-06 05:30:00,2025-04-03 04:45:00,496,-0.4242,-210.3894,26.8,alta,lateral
rompimento,False,15m,2,2025-04-03 14:30:00,2025-05-01 02:30:00,515,-0.2679,-137.9439,31.1,alta,lateral
rompimento,False,15m,3,2025-05-01 05:45:00,2025-05-29 02:45:00,577,-0.2955,-170.492,32.2,alta,bull
rompimento,False,15m,4,2025-05-29 07:45:00,2025-06-26 03:15:00,465,-0.2995,-139.2484,31.6,media,lateral
rompimento,False,15m,5,2025-06-26 14:45:00,2025-07-24 03:30:00,576,-0.2123,-122.2821,33.2,baixa,lateral
rompimento,False,15m,6,2025-07-24 11:15:00,2025-08-21 02:00:00,572,-0.2895,-165.568,32.9,alta,bull
rompimento,False,15m,7,2025-08-21 05:45:00,2025-09-18 04:00:00,504,-0.2279,-114.8803,33.9,baixa,lateral
rompimento,False,15m,8,2025-09-18 07:45:00,2025-10-16 03:45:00,488,-0.2819,-137.5687,30.7,alta,lateral
rompimento,False,15m,9,2025-10-16 07:00:00,2025-11-13 04:30:00,497,-0.3339,-165.9479,31.2,alta,lateral
rompimento,False,15m,10,2025-11-13 05:45:00,2025-12-10 20:15:00,473,-0.2472,-116.9031,32.8,alta,lateral
rompimento,False,15m,11,2025-12-11 06:15:00,2026-01-08 01:00:00,493,-0.2879,-141.9294,29.2,baixa,lateral
rompimento,False,15m,12,2026-01-08 15:30:00,2026-02-04 09:00:00,419,-0.4621,-193.6149,21.2,baixa,lateral
rompimento,False,15m,13,2026-02-05 09:15:00,2026-03-05 02:30:00,511,-0.1891,-96.6358,33.7,alta,bear
rompimento,False,15m,14,2026-03-05 07:00:00,2026-04-02 01:00:00,458,-0.4775,-218.678,23.4,media,lateral
rompimento,False,15m,15,2026-04-02 07:45:00,2026-04-30 02:30:00,441,-0.2475,-109.1428,28.8,baixa,lateral
rompimento,False,15m,16,2026-04-30 08:00:00,2026-05-27 16:15:00,446,-0.2935,-130.8807,30.5,baixa,lateral
rompimento,False,15m,17,2026-05-28 10:00:00,2026-06-19 09:45:00,340,-0.4229,-143.7883,24.4,baixa,lateral
rompimento,True,15m,0,2025-02-06 05:15:00,2025-03-06 04:45:00,351,-0.331,-116.192,29.1,alta,lateral
rompimento,True,15m,1,2025-03-06 05:30:00,2025-04-03 04:45:00,344,-0.4755,-163.5785,25.3,alta,lateral
rompimento,True,15m,2,2025-04-03 14:30:00,2025-05-01 02:30:00,387,-0.2693,-104.2035,30.0,alta,lateral
