candidata,com_filtro_volume,timeframe,regime_tendencia,n_trades,net_pct_medio,net_pct_soma,win_rate_liquido_pct
mean_reversion,False,15m,bear,1503,-0.281,-422.3129,40.4
mean_reversion,False,15m,bull,553,-0.276,-152.6082,40.9
mean_reversion,False,15m,lateral,6360,-0.3036,-1931.1819,36.5
mean_reversion,False,5m,bear,3553,-0.3055,-1085.348,40.4
mean_reversion,False,5m,bull,1560,-0.284,-443.1123,40.1
mean_reversion,False,5m,lateral,15369,-0.3088,-4746.4543,30.3
mean_reversion,True,15m,bear,1089,-0.2692,-293.1132,40.7
mean_reversion,True,15m,bull,383,-0.2702,-103.4681,42.0
mean_reversion,True,15m,lateral,4754,-0.307,-1459.3733,36.4
mean_reversion,True,5m,bear,2633,-0.3173,-835.5123,40.3
mean_reversion,True,5m,bull,1166,-0.282,-328.7772,40.2
mean_reversion,True,5m,lateral,11542,-0.3122,-3603.6114,31.1
momentum,False,15m,bear,933,-0.3636,-339.2282,29.9
momentum,False,15m,bull,563,-0.2624,-147.7327,35.0
momentum,False,15m,lateral,5421,-0.2901,-1572.649,29.1
momentum,False,5m,bear,2873,-0.316,-908.0085,22.9
momentum,False,5m,bull,1826,-0.2643,-482.6224,26.4
momentum,False,5m,lateral,17243,-0.3092,-5331.3414,18.3
momentum,True,15m,bear,257,-0.3799,-97.6364,31.5
momentum,True,15m,bull,154,-0.3086,-47.5183,33.8
momentum,True,15m,lateral,1657,-0.2816,-466.6232,31.6
momentum,True,5m,bear,697,-0.3203,-223.2587,25.8
momentum,True,5m,bull,388,-0.2489,-96.5821,29.1
momentum,True,5m,lateral,4427,-0.3227,-1428.4293,20.7
rompimento,False,15m,bear,1143,-0.2938,-335.8207,31.4
rompimento,False,15m,bull,949,-0.2704,-256.599,32.9
rompimento,False,15m,lateral,6698,-0.3095,-2072.9976,29.6
rompimento,False,5m,bear,2530,-0.3015,-762.7435,32.0
rompimento,False,5m,bull,1799,-0.2875,-517.2589,32.3
rompimento,False,5m,lateral,13157,-0.318,-4184.2297,29.4
rompimento,True,15m,bear,764,-0.2449,-187.0658,33.2
rompimento,True,15m,bull,714,-0.2518,-179.7695,33.5
rompimento,True,15m,lateral,4983,-0.3077,-1533.1369,29.7
rompimento,True,5m,bear,1862,-0.2998,-558.2066,31.6
rompimento,True,5m,bull,1375,-0.2712,-372.8641,31.7
rompimento,True,5m,lateral,10349,-0.3153,-3263.0134,29.5
