candidata,com_filtro_volume,timeframe,n_ativos,n_trades_total,trades_por_mes_medio,breakeven_pct,net_pct_medio,net_pct_mediano,win_rate_bruto_pct,win_rate_liquido_pct,imposto_custo_pct_mes,projecao_usd_mes_capital500,calmar_medio_base,net_pct_medio_estresse,projecao_usd_mes_estresse,n_ativos_significativos_p05,n_ativos_com_dados_suficientes
rompimento,True,15m,8,6461,48.6,0.3,-0.2941,-0.5878,40.2,30.5,14.58,-27.31,-0.909,-0.3971,-28.45,0,8
momentum,True,15m,8,2068,15.6,0.3,-0.2958,-0.5558,40.5,31.8,4.67,-16.16,-0.781,-0.381,-18.65,0,8
mean_reversion,False,15m,8,8416,63.3,0.3,-0.2978,-0.5908,45.0,37.5,18.99,-28.64,-0.939,-0.4305,-29.55,0,8
momentum,False,15m,8,6917,52.0,0.3,-0.2978,-0.5272,38.6,29.7,15.6,-27.69,-0.916,-0.3535,-28.32,0,8
mean_reversion,True,15m,8,6226,46.8,0.3,-0.2981,-0.6037,44.7,37.5,14.05,-26.93,-0.905,-0.443,-28.83,0,8
rompimento,False,15m,8,8790,66.1,0.3,-0.3032,-0.5874,40.4,30.2,19.83,-28.95,-0.946,-0.3952,-29.32,0,8
mean_reversion,False,5m,8,20482,154.0,0.3,-0.3064,-0.2297,53.5,32.8,46.21,-30.07,-0.997,-0.3389,-30.07,0,8
momentum,False,5m,8,21942,165.0,0.3,-0.3064,-0.4624,28.9,19.5,49.5,-30.07,-0.998,-0.2908,-30.04,0,8
rompimento,True,5m,8,13586,102.2,0.3,-0.3087,-0.5931,40.2,30.0,30.65,-29.88,-0.982,-0.3286,-29.79,0,8
mean_reversion,True,5m,8,15341,115.4,0.3,-0.3108,-0.2373,52.7,33.3,34.61,-30.0,-0.99,-0.3517,-30.02,0,8
rompimento,False,5m,8,17486,131.5,0.3,-0.3125,-0.5958,40.5,30.1,39.45,-30.02,-0.993,-0.3293,-29.95,0,8
momentum,True,5m,8,5512,41.5,0.3,-0.3172,-0.4917,30.8,22.0,12.44,-26.64,-0.897,-0.3169,-26.45,0,8
