Ativo,Grupo,Dev_Inicio,Ouro_Dev_Ret_%,Ouro_Dev_Calmar,Ouro_Dev_Trades,Ouro_Hold_Ret_%,Ouro_Hold_DD_%,Otim_Dev_Ret_%,Otim_Dev_Calmar,Otim_Hold_Ret_%,BH_Dev_%,BH_Hold_%
1MBABYDOGEUSDT,nova,2024-09-16,-8.25,-0.24,14,-33.77,33.77,157.01,7.22,-37.51,56.3,-78.02
API3USDT,nova,2022-01-21,-73.46,-0.42,20,-3.33,3.33,75.96,0.4,0.0,-82.32,-73.19
BNBUSDT,veterana,2018-07-30,6611.38,2.14,54,-27.39,32.97,26791.34,3.18,-26.09,5677.41,-29.03
BONKUSDT,nova,2023-12-15,-55.53,-0.69,22,-22.13,38.27,1765.94,13.11,-34.22,52.36,-89.74
BTCUSDT,veterana,2018-07-30,1215.03,0.7,112,-10.61,26.55,3770.06,2.5,0.99,1334.34,-45.71
DOGEUSDT,veterana,2019-07-05,2339.49,0.83,63,-13.04,39.5,58679.21,3.62,-23.91,4887.08,-68.37
ETHUSDT,veterana,2018-07-30,2176.73,1.04,69,-38.15,48.28,5941.46,2.22,-30.85,713.42,-49.39
FETUSDT,nova,2019-02-28,897.3,0.63,96,-24.37,30.64,115396.63,3.1,-47.92,112.73,-80.64
FLOKIUSDT,nova,2023-05-05,363.28,1.84,36,-28.14,29.8,5215.48,14.08,-31.37,257.71,-81.87
HBARUSDT,nova,2019-09-29,702.3,0.65,47,-22.72,24.69,16936.57,2.22,-18.4,749.95,-74.13
IMXUSDT,nova,2022-01-10,-73.42,-0.42,32,2.08,37.34,596.9,2.2,-3.86,-84.99,-79.47
INJUSDT,nova,2020-10-21,49.06,0.13,24,-15.69,15.69,4950.41,1.99,28.43,3422.5,-67.34
LINKUSDT,veterana,2019-01-16,3965.59,1.12,107,-52.53,59.5,5695.32,1.84,-21.46,3225.86,-52.92
PENGUUSDT,nova,2024-12-17,-23.7,-1.27,6,-20.57,34.19,615.85,76.42,-29.72,1018.58,-84.03
PEPEUSDT,nova,2023-05-05,4099.79,12.4,29,-26.37,39.49,5917.97,13.48,-23.87,478.17,-75.33
RENDERUSDT,nova,2024-07-26,-3.94,-0.09,17,-11.26,29.84,135.61,4.09,-31.78,-44.5,-63.51
SOLUSDT,veterana,2020-08-11,15342.13,2.19,53,-37.99,41.82,44003.64,4.08,-26.21,6267.72,-59.13
SUIUSDT,nova,2023-05-03,-16.89,-0.13,21,-29.88,36.1,1109.61,7.42,-12.28,3740.0,-81.93
TAOUSDT,nova,2024-04-11,-13.66,-0.21,20,-1.88,37.46,463.17,13.99,-39.4,-13.39,-49.25
TRXUSDT,veterana,2018-07-30,291.0,0.31,91,-14.01,14.83,2484.47,1.28,4.05,767.73,-4.08
XRPUSDT,veterana,2018-07-30,2491.97,0.95,82,-41.84,44.08,10275.76,2.17,-22.45,590.28,-65.91
ZECUSDT,nova,2019-03-21,89.13,0.2,86,144.04,50.36,2343.07,1.44,707.08,-31.21,1073.18
