Ativo,Interval,Grupo_Liquidez,Periodo_Dev_Inicio,Periodo_Dev_Fim,media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador,Retorno_Anualizado_%,DD_%,Calmar,Sharpe,Num_Trades,N_Combinacoes_Validas,N_Combinacoes_Testadas,DSR,DSR_%
1MBABYDOGEUSDT,4h,menos_liquido,2024-09-16,2025-07-28,9,20,200,20,4.0,225.56,27.36,8.245,1.608,14,22590,28035,0.0021,0.21
API3USDT,12h,menos_liquido,2022-01-21,2025-07-28,7,30,250,25,5.0,17.7,43.65,0.406,0.552,13,28035,28035,0.0,0.0
BNBUSDT,12h,liquido,2018-07-30,2025-07-28,5,80,100,14,5.0,123.2,38.45,3.204,1.584,47,28035,28035,0.1676,16.76
BONKUSDT,4h,menos_liquido,2023-12-15,2025-07-28,7,50,150,10,2.0,509.53,38.71,13.162,2.547,18,28035,28035,0.0004,0.04
BTCUSDT,6h,liquido,2018-07-30,2025-07-28,14,80,200,20,2.5,68.68,27.46,2.501,1.611,45,28035,28035,1.0,100.0
DOGEUSDT,8h,liquido,2019-07-05,2025-07-28,18,50,50,7,4.0,186.6,51.44,3.627,1.201,57,28035,28035,0.3398,33.98
ETHUSDT,8h,liquido,2018-07-30,2025-07-28,18,20,50,7,1.5,80.76,35.83,2.254,1.444,191,28035,28035,1.0,100.0
FETUSDT,4h,menos_liquido,2019-02-28,2025-07-28,21,150,250,20,6.0,200.3,64.63,3.099,1.682,39,28035,28035,0.1791,17.91
FLOKIUSDT,4h,menos_liquido,2023-05-05,2025-07-28,9,40,100,20,2.5,493.36,34.94,14.12,2.185,35,28035,28035,0.0153,1.53
HBARUSDT,8h,menos_liquido,2019-09-29,2025-07-28,12,150,100,14,1.0,142.58,63.72,2.238,1.265,31,28035,28035,0.0009,0.09
IMXUSDT,6h,menos_liquido,2022-01-10,2025-07-28,21,80,200,20,0.5,72.87,33.14,2.199,1.448,14,28035,28035,0.0,0.0
INJUSDT,12h,menos_liquido,2020-10-21,2025-07-28,10,40,50,14,2.0,129.28,63.99,2.02,1.341,35,28035,28035,0.0,0.0
LINKUSDT,6h,liquido,2019-01-16,2025-07-28,5,40,150,7,6.0,85.99,46.94,1.832,1.256,88,28035,28035,0.5855,58.55
PENGUUSDT,4h,menos_liquido,2024-12-17,2025-07-28,18,120,100,14,0.5,2753.41,31.02,88.758,3.47,6,12665,28035,0.0002,0.02
PEPEUSDT,4h,menos_liquido,2023-05-05,2025-07-28,18,80,50,7,4.0,527.3,39.0,13.52,2.174,26,28035,28035,0.0007,0.07
RENDERUSDT,4h,menos_liquido,2024-07-26,2025-07-28,21,40,100,14,5.0,134.47,32.78,4.102,1.815,13,28035,28035,0.0,0.0
SOLUSDT,8h,liquido,2020-08-11,2025-07-28,21,120,150,10,4.0,241.08,59.1,4.08,1.818,21,28035,28035,0.0,0.0
SUIUSDT,6h,menos_liquido,2023-05-03,2025-07-28,18,100,200,20,2.0,204.69,27.55,7.43,1.908,8,27999,28035,0.0,0.0
TAOUSDT,4h,menos_liquido,2024-04-11,2025-07-28,10,20,100,10,4.0,283.86,19.91,14.255,2.772,24,28035,28035,0.0464,4.64
TRXUSDT,8h,liquido,2018-07-30,2025-07-28,9,50,200,14,5.0,58.06,46.25,1.255,1.049,55,28035,28035,0.1772,17.72
XRPUSDT,8h,liquido,2018-07-30,2025-07-28,9,30,50,20,6.0,94.14,43.33,2.172,1.319,81,28035,28035,0.0235,2.35
ZECUSDT,4h,menos_liquido,2019-03-21,2025-07-28,10,80,150,25,6.0,65.34,45.32,1.442,1.129,61,28035,28035,0.0014,0.14
