Ativo,Interval,Grupo_Liquidez,N_Combinacoes_Validas,N_Candles_Dev,Dev_Inicio,Dev_Fim,Melhor_Calmar,segundos
BONKUSDT,12h,menos_liquido,23488,1194,2023-12-15,2025-08-02,4.371,64.7
DOGEUSDT,4h,liquido,28035,13320,2019-07-05,2025-08-02,2.802,86.7
DOGEUSDT,6h,liquido,28035,8881,2019-07-05,2025-08-02,3.2793,75.3
DOGEUSDT,8h,liquido,28035,6662,2019-07-05,2025-08-02,4.1278,68.3
DOGEUSDT,12h,liquido,28035,4441,2019-07-05,2025-08-02,2.5075,69.6
FLOKIUSDT,4h,menos_liquido,28035,4921,2023-05-05,2025-08-02,14.8252,66.1
FLOKIUSDT,6h,menos_liquido,27972,3280,2023-05-05,2025-08-02,11.2056,70.3
FLOKIUSDT,8h,menos_liquido,27531,2461,2023-05-05,2025-08-02,13.218,67.8
FLOKIUSDT,12h,menos_liquido,24891,1641,2023-05-05,2025-08-02,7.1767,66.8
PENGUUSDT,4h,menos_liquido,14238,1370,2024-12-17,2025-08-02,64.6422,64.7
PENGUUSDT,6h,menos_liquido,7560,913,2024-12-17,2025-08-02,82.4999,66.4
PENGUUSDT,8h,menos_liquido,3906,686,2024-12-17,2025-08-02,57.2369,65.3
PENGUUSDT,12h,menos_liquido,1449,457,2024-12-17,2025-08-02,29.9198,64.7
PEPEUSDT,4h,menos_liquido,28035,4921,2023-05-05,2025-08-02,13.3409,67.0
PEPEUSDT,6h,menos_liquido,28035,3280,2023-05-05,2025-08-02,13.4916,71.8
PEPEUSDT,8h,menos_liquido,28035,2461,2023-05-05,2025-08-02,14.1582,68.7
PEPEUSDT,12h,menos_liquido,27648,1641,2023-05-05,2025-08-02,6.6131,66.6
SHIBUSDT,4h,menos_liquido,28035,9273,2021-05-10,2025-08-02,3.18,77.6
SHIBUSDT,6h,menos_liquido,28035,6182,2021-05-10,2025-08-02,2.3964,72.9
SHIBUSDT,8h,menos_liquido,28035,4637,2021-05-10,2025-08-02,2.8044,69.9
SHIBUSDT,12h,menos_liquido,28005,3092,2021-05-10,2025-08-02,2.6243,68.6
BNBUSDT,4h,liquido,28035,15329,2018-08-04,2025-08-02,2.6494,84.7
BNBUSDT,6h,liquido,28035,10222,2018-08-04,2025-08-02,2.9254,78.9
BNBUSDT,8h,liquido,28035,7668,2018-08-04,2025-08-02,3.2343,75.7
BNBUSDT,12h,liquido,28035,5112,2018-08-04,2025-08-02,3.1117,68.0
BTCUSDT,4h,liquido,28035,15329,2018-08-04,2025-08-02,2.4082,72.4
BTCUSDT,6h,liquido,28035,10222,2018-08-04,2025-08-02,2.5472,71.5
BTCUSDT,8h,liquido,28035,7668,2018-08-04,2025-08-02,2.7281,131.7
BTCUSDT,12h,liquido,28035,5112,2018-08-04,2025-08-02,2.5006,124.7
ETHUSDT,4h,liquido,28035,15329,2018-08-04,2025-08-02,2.9867,161.0
ETHUSDT,6h,liquido,28035,10222,2018-08-04,2025-08-02,2.6552,172.4
ETHUSDT,8h,liquido,28035,7668,2018-08-04,2025-08-02,2.6521,135.2
ETHUSDT,12h,liquido,28035,5112,2018-08-04,2025-08-02,2.2337,106.3
HBARUSDT,4h,menos_liquido,28035,12807,2019-09-29,2025-08-02,1.9855,130.8
HBARUSDT,6h,menos_liquido,28035,8539,2019-09-29,2025-08-02,2.383,122.0
HBARUSDT,8h,menos_liquido,28035,6405,2019-09-29,2025-08-02,2.5381,110.9
HBARUSDT,12h,menos_liquido,28035,4270,2019-09-29,2025-08-02,2.6608,109.4
INJUSDT,4h,menos_liquido,28035,10480,2020-10-21,2025-08-02,2.1129,126.7
INJUSDT,6h,menos_liquido,28035,6987,2020-10-21,2025-08-02,2.1672,119.7
INJUSDT,8h,menos_liquido,28035,5241,2020-10-21,2025-08-02,1.74,111.4
INJUSDT,12h,menos_liquido,28035,3494,2020-10-21,2025-08-02,2.3291,106.5
SOLUSDT,4h,liquido,28035,10906,2020-08-11,2025-08-02,5.6393,128.4
SOLUSDT,6h,liquido,28035,7270,2020-08-11,2025-08-02,5.6658,114.9
SOLUSDT,8h,liquido,28035,5454,2020-08-11,2025-08-02,5.5925,106.0
SOLUSDT,12h,liquido,28035,3636,2020-08-11,2025-08-02,4.9473,106.5
SUIUSDT,4h,menos_liquido,28035,4934,2023-05-03,2025-08-02,7.8778,111.9
SUIUSDT,6h,menos_liquido,27999,3289,2023-05-03,2025-08-02,8.1122,111.1
SUIUSDT,8h,menos_liquido,25460,2468,2023-05-03,2025-08-02,7.5249,110.7
SUIUSDT,12h,menos_liquido,20693,1645,2023-05-03,2025-08-02,8.0614,110.5
TRXUSDT,4h,liquido,28035,15329,2018-08-04,2025-08-02,1.1905,132.6
TRXUSDT,6h,liquido,28035,10223,2018-08-04,2025-08-02,1.192,122.5
TRXUSDT,8h,liquido,28035,7668,2018-08-04,2025-08-02,1.2549,111.4
TRXUSDT,12h,liquido,28035,5112,2018-08-04,2025-08-02,1.1248,111.9
ADAUSDT,4h,menos_liquido,28035,15329,2018-08-04,2025-08-02,2.2162,131.4
ADAUSDT,6h,menos_liquido,28035,10223,2018-08-04,2025-08-02,2.987,123.0
ADAUSDT,8h,menos_liquido,28035,7668,2018-08-04,2025-08-02,1.9536,79.9
ADAUSDT,12h,menos_liquido,28035,5112,2018-08-04,2025-08-02,2.0618,73.0
AVAXUSDT,4h,menos_liquido,28035,10654,2020-09-22,2025-08-02,3.4761,79.8
AVAXUSDT,6h,menos_liquido,28035,7103,2020-09-22,2025-08-02,4.1424,78.7
AVAXUSDT,8h,menos_liquido,28035,5328,2020-09-22,2025-08-02,3.4929,73.1
AVAXUSDT,12h,menos_liquido,28035,3552,2020-09-22,2025-08-02,3.8179,70.8
DOTUSDT,4h,menos_liquido,28035,10860,2020-08-18,2025-08-02,1.9424,78.5
DOTUSDT,6h,menos_liquido,28035,7241,2020-08-18,2025-08-02,2.6724,74.6
DOTUSDT,8h,menos_liquido,28035,5431,2020-08-18,2025-08-02,2.3598,74.8
DOTUSDT,12h,menos_liquido,27972,3621,2020-08-18,2025-08-02,2.2573,69.7
NEARUSDT,4h,menos_liquido,28035,10522,2020-10-14,2025-08-02,3.3762,77.9
NEARUSDT,6h,menos_liquido,28035,7016,2020-10-14,2025-08-02,3.4496,72.7
NEARUSDT,8h,menos_liquido,28035,5262,2020-10-14,2025-08-02,2.9525,71.0
NEARUSDT,12h,menos_liquido,28035,3508,2020-10-14,2025-08-02,3.6056,70.7
ATOMUSDT,4h,menos_liquido,28035,13722,2019-04-29,2025-08-02,1.0723,87.3
ATOMUSDT,6h,menos_liquido,28035,9151,2019-04-29,2025-08-02,1.0683,75.9
ATOMUSDT,8h,menos_liquido,28035,6864,2019-04-29,2025-08-02,1.3277,73.6
ATOMUSDT,12h,menos_liquido,28035,4576,2019-04-29,2025-08-02,1.2706,69.1
ALGOUSDT,4h,menos_liquido,28035,13401,2019-06-22,2025-08-02,0.8536,82.6
ALGOUSDT,6h,menos_liquido,28035,8936,2019-06-22,2025-08-02,1.0085,75.6
ALGOUSDT,8h,menos_liquido,28035,6702,2019-06-22,2025-08-02,1.1585,74.9
ALGOUSDT,12h,menos_liquido,28035,4468,2019-06-22,2025-08-02,1.1879,71.3
FETUSDT,4h,menos_liquido,28035,14080,2019-02-28,2025-08-02,3.5355,73.9
FETUSDT,6h,menos_liquido,28035,9390,2019-02-28,2025-08-02,4.2023,90.3
FETUSDT,8h,menos_liquido,28035,7043,2019-02-28,2025-08-02,4.1521,87.1
FETUSDT,12h,menos_liquido,28035,4696,2019-02-28,2025-08-02,4.6137,80.1
RENDERUSDT,4h,menos_liquido,28035,2235,2024-07-26,2025-08-02,4.2599,93.2
RENDERUSDT,6h,menos_liquido,25235,1491,2024-07-26,2025-08-02,6.4259,93.3
RENDERUSDT,8h,menos_liquido,19534,1118,2024-07-26,2025-08-02,5.4,88.5
RENDERUSDT,12h,menos_liquido,9343,746,2024-07-26,2025-08-02,3.6276,85.7
TAOUSDT,4h,menos_liquido,28035,2870,2024-04-11,2025-08-02,13.7818,97.4
TAOUSDT,6h,menos_liquido,28035,1914,2024-04-11,2025-08-02,5.809,100.9
TAOUSDT,8h,menos_liquido,27820,1436,2024-04-11,2025-08-02,4.1474,125.7
TAOUSDT,12h,menos_liquido,23824,957,2024-04-11,2025-08-02,3.0129,116.9
WLDUSDT,4h,menos_liquido,28035,4443,2023-07-24,2025-08-02,4.6931,122.3
WLDUSDT,6h,menos_liquido,26712,2963,2023-07-24,2025-08-02,4.8135,127.5
WLDUSDT,8h,menos_liquido,23306,2222,2023-07-24,2025-08-02,4.635,88.6
WLDUSDT,12h,menos_liquido,19392,1482,2023-07-24,2025-08-02,5.0085,84.2
ARKMUSDT,4h,menos_liquido,28035,4478,2023-07-18,2025-08-02,6.5533,93.8
ARKMUSDT,6h,menos_liquido,28035,2986,2023-07-18,2025-08-02,5.4039,86.9
ARKMUSDT,8h,menos_liquido,27846,2240,2023-07-18,2025-08-02,4.5756,87.7
ARKMUSDT,12h,menos_liquido,23341,1493,2023-07-18,2025-08-02,3.2967,85.9
NMRUSDT,4h,menos_liquido,28035,10856,2020-08-19,2025-08-02,0.2741,99.6
NMRUSDT,6h,menos_liquido,28035,7238,2020-08-19,2025-08-02,0.3058,96.5
NMRUSDT,8h,menos_liquido,28035,5429,2020-08-19,2025-08-02,0.5395,92.9
NMRUSDT,12h,menos_liquido,28035,3619,2020-08-19,2025-08-02,0.4657,87.5
API3USDT,4h,menos_liquido,28035,7737,2022-01-21,2025-08-02,0.4888,103.1
API3USDT,6h,menos_liquido,28035,5159,2022-01-21,2025-08-02,0.5158,91.4
API3USDT,8h,menos_liquido,28035,3869,2022-01-21,2025-08-02,0.5806,95.0
API3USDT,12h,menos_liquido,28035,2580,2022-01-21,2025-08-02,0.6044,99.9
LINKUSDT,4h,liquido,28035,14338,2019-01-16,2025-08-02,2.0234,125.1
LINKUSDT,6h,liquido,28035,9562,2019-01-16,2025-08-02,1.909,104.5
LINKUSDT,8h,liquido,28035,7172,2019-01-16,2025-08-02,1.7001,116.0
LINKUSDT,12h,liquido,28035,4782,2019-01-16,2025-08-02,1.6187,127.2
GRTUSDT,4h,menos_liquido,28035,10134,2020-12-17,2025-08-02,2.5644,136.5
GRTUSDT,6h,menos_liquido,28035,6757,2020-12-17,2025-08-02,2.2199,135.3
GRTUSDT,8h,menos_liquido,28035,5068,2020-12-17,2025-08-02,2.1308,93.3
GRTUSDT,12h,menos_liquido,28035,3379,2020-12-17,2025-08-02,2.5984,67.4
BANDUSDT,4h,menos_liquido,28035,12871,2019-09-18,2025-08-02,0.8316,78.8
BANDUSDT,6h,menos_liquido,28035,8582,2019-09-18,2025-08-02,1.2189,72.8
BANDUSDT,8h,menos_liquido,28035,6437,2019-09-18,2025-08-02,1.2818,71.1
BANDUSDT,12h,menos_liquido,28035,4291,2019-09-18,2025-08-02,1.3456,72.5
TRBUSDT,4h,menos_liquido,28035,10798,2020-08-29,2025-08-02,1.2048,83.8
TRBUSDT,6h,menos_liquido,28035,7199,2020-08-29,2025-08-02,1.7468,70.5
TRBUSDT,8h,menos_liquido,28035,5400,2020-08-29,2025-08-02,1.9243,68.5
TRBUSDT,12h,menos_liquido,28035,3600,2020-08-29,2025-08-02,1.3318,67.2
XRPUSDT,4h,liquido,28035,15329,2018-08-04,2025-08-02,1.4536,80.4
XRPUSDT,6h,liquido,28035,10223,2018-08-04,2025-08-02,1.5239,73.3
XRPUSDT,8h,liquido,28035,7668,2018-08-04,2025-08-02,2.2237,64.7
XRPUSDT,12h,liquido,28035,5112,2018-08-04,2025-08-02,1.559,67.7
ZECUSDT,4h,menos_liquido,28035,13956,2019-03-21,2025-08-02,1.4478,67.3
ZECUSDT,6h,menos_liquido,28035,9307,2019-03-21,2025-08-02,0.9557,73.0
ZECUSDT,8h,menos_liquido,28035,6981,2019-03-21,2025-08-02,0.9513,72.5
ZECUSDT,12h,menos_liquido,28035,4654,2019-03-21,2025-08-02,1.113,67.2
LTCUSDT,4h,menos_liquido,28035,15330,2018-08-04,2025-08-02,0.6323,79.6
LTCUSDT,6h,menos_liquido,28035,10223,2018-08-04,2025-08-02,0.7915,73.9
LTCUSDT,8h,menos_liquido,28035,7668,2018-08-04,2025-08-02,0.8055,70.8
LTCUSDT,12h,menos_liquido,28035,5112,2018-08-04,2025-08-02,0.8985,67.9
BCHUSDT,4h,menos_liquido,28035,12447,2019-11-28,2025-08-02,1.2613,76.5
BCHUSDT,6h,menos_liquido,28035,8299,2019-11-28,2025-08-02,1.006,72.9
BCHUSDT,8h,menos_liquido,28035,6224,2019-11-28,2025-08-02,0.937,70.2
BCHUSDT,12h,menos_liquido,28035,4150,2019-11-28,2025-08-02,1.2461,66.4
XLMUSDT,4h,menos_liquido,28035,15330,2018-08-04,2025-08-02,1.6744,79.5
XLMUSDT,6h,menos_liquido,28035,10223,2018-08-04,2025-08-02,1.435,78.7
XLMUSDT,8h,menos_liquido,28035,7668,2018-08-04,2025-08-02,1.9621,71.7
XLMUSDT,12h,menos_liquido,28035,5112,2018-08-04,2025-08-02,1.1533,67.6
IMXUSDT,4h,menos_liquido,28035,7804,2022-01-10,2025-08-02,1.7306,75.4
IMXUSDT,6h,menos_liquido,28035,5203,2022-01-10,2025-08-02,2.2684,63.9
IMXUSDT,8h,menos_liquido,28035,3902,2022-01-10,2025-08-02,1.5715,66.4
IMXUSDT,12h,menos_liquido,26714,2602,2022-01-10,2025-08-02,2.8747,65.4
SANDUSDT,4h,menos_liquido,28035,10887,2020-08-14,2025-08-02,3.0353,75.9
SANDUSDT,6h,menos_liquido,28035,7258,2020-08-14,2025-08-02,3.1392,70.2
SANDUSDT,8h,menos_liquido,28035,5444,2020-08-14,2025-08-02,3.884,69.2
SANDUSDT,12h,menos_liquido,28035,3629,2020-08-14,2025-08-02,3.634,67.0
AXSUSDT,4h,menos_liquido,28035,10395,2020-11-04,2025-08-02,5.7777,82.9
AXSUSDT,6h,menos_liquido,28035,6930,2020-11-04,2025-08-02,5.1121,79.4
