Janela,Variante,Capital_Final,Multiplo,CAGR_%,DD_Max_%,Submerso_dias,Anos,Inicio,Fim,N_Ativos
A) Veteranas (janela longa),Base,226837.16,22.68,87.42,45.71,732,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),ScaleOut,157905.66,15.79,74.25,41.49,774,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),FiltroVolume,145935.17,14.59,71.5,24.41,727,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),VolTarget15,223718.74,22.37,86.9,40.53,715,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),BTC_Filtrado,227477.56,22.75,87.53,39.79,732,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),BTC_Agressivo,597219.65,59.72,127.73,45.64,730,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),ScaleOut_Agressivo,348215.92,34.82,104.31,40.74,755,4.97,2020-08-12,2025-08-01,8
A) Veteranas (janela longa),BuyHold,322044.97,32.2,101.12,75.08,855,4.97,2020-08-12,2025-08-01,8
B) 22 ativos (janela CURTA comum),Base,9711.8,0.97,-4.62,18.5,142,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),ScaleOut,9132.25,0.91,-13.64,22.37,194,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),FiltroVolume,9370.02,0.94,-9.98,10.9,123,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),VolTarget15,10420.97,1.04,6.89,17.62,123,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),BTC_Filtrado,9711.8,0.97,-4.62,18.5,142,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),BTC_Agressivo,9620.16,0.96,-6.07,25.64,123,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),ScaleOut_Agressivo,8713.65,0.87,-19.95,30.82,194,0.62,2024-12-18,2025-08-01,22
B) 22 ativos (janela CURTA comum),BuyHold,7385.25,0.74,-38.73,56.35,207,0.62,2024-12-18,2025-08-01,22
