A,B,P_A_maior_B_%
Base,BTC_Filtrado,48.6
Base,ScaleOut,98.7
Base,FiltroVolume,85.9
Base,BuyHold,29.6
BTC_Filtrado,Base,51.4
BTC_Filtrado,ScaleOut,99.1
BTC_Filtrado,FiltroVolume,87.9
BTC_Filtrado,BuyHold,30.1
ScaleOut,Base,1.3
ScaleOut,BTC_Filtrado,0.9
ScaleOut,FiltroVolume,42.2
ScaleOut,BuyHold,15.5
FiltroVolume,Base,14.1
FiltroVolume,BTC_Filtrado,12.1
FiltroVolume,ScaleOut,57.8
FiltroVolume,BuyHold,20.3
BuyHold,Base,70.4
BuyHold,BTC_Filtrado,69.9
BuyHold,ScaleOut,84.5
BuyHold,FiltroVolume,79.7
