Timeframe,Setor,N_Ativos,Consistencia,Consistencia_Nula,p_value
4h,MEME,7,0.4,,
4h,LAYER1,14,0.4857,,
4h,IA,6,0.4333,,
4h,INFRA,5,0.44,,
4h,PAGAMENTOS,5,0.52,,
4h,GAMING,6,0.5667,,
4h,__PERMUTACAO__,43,0.4743,0.4663,0.2992
6h,MEME,7,0.4286,,
6h,LAYER1,14,0.4286,,
6h,IA,6,0.3333,,
6h,INFRA,5,0.4,,
6h,PAGAMENTOS,5,0.44,,
6h,GAMING,6,0.4333,,
6h,__PERMUTACAO__,43,0.4106,0.424,0.7808
8h,MEME,7,0.5714,,
8h,LAYER1,14,0.4,,
8h,IA,6,0.3333,,
8h,INFRA,5,0.44,,
8h,PAGAMENTOS,5,0.44,,
8h,GAMING,6,0.3667,,
8h,__PERMUTACAO__,43,0.4252,0.4272,0.5366
12h,MEME,7,0.5143,,
12h,LAYER1,14,0.4571,,
12h,IA,6,0.3667,,
12h,INFRA,5,0.56,,
12h,PAGAMENTOS,5,0.52,,
12h,GAMING,6,0.4,,
12h,__PERMUTACAO__,43,0.4697,0.4691,0.4822
