Timeframe,Parametro,Valor_Mais_Comum,Fracao_Ativos
4h,media_rapida_per,21.0,0.326
4h,media_lenta_per,200.0,0.256
4h,media_filtro_tendencia_per,100.0,0.326
4h,atr_periodo,5.0,0.512
4h,atr_multiplicador,6.0,0.605
6h,media_rapida_per,21.0,0.163
6h,media_lenta_per,80.0,0.233
6h,media_filtro_tendencia_per,150.0,0.279
6h,atr_periodo,5.0,0.419
6h,atr_multiplicador,6.0,0.535
8h,media_rapida_per,5.0,0.233
8h,media_lenta_per,50.0,0.233
8h,media_filtro_tendencia_per,50.0,0.326
8h,atr_periodo,5.0,0.395
8h,atr_multiplicador,6.0,0.535
12h,media_rapida_per,21.0,0.209
12h,media_lenta_per,40.0,0.209
12h,media_filtro_tendencia_per,100.0,0.326
12h,atr_periodo,5.0,0.512
12h,atr_multiplicador,6.0,0.651
