Ativo,Modelo,Grupo,liquido,n_stop,n_cruzamento,retorno_total_pct,retorno_anual_pct,drawdown_pct,calmar,sharpe,capital_final
1MBABYDOGEUSDT,baseline,nova,False,0,11,51.93,62.04,38.37,1.6169,0.9107,1519.31
1MBABYDOGEUSDT,realista,nova,False,0,11,51.93,62.04,38.37,1.6169,0.9107,1519.31
API3USDT,baseline,nova,False,1,18,-11.71,-3.48,68.83,-0.0505,0.2686,882.93
API3USDT,realista,nova,False,1,18,-16.49,-4.99,70.52,-0.0708,0.2487,835.11
BNBUSDT,baseline,veterana,True,0,41,14473.85,103.81,43.31,2.3967,1.4462,145738.46
BNBUSDT,realista,veterana,True,0,41,14473.85,103.81,43.31,2.3967,1.4462,145738.46
BONKUSDT,baseline,nova,False,2,19,191.33,93.32,57.26,1.6297,1.3419,2913.33
BONKUSDT,realista,nova,False,2,19,159.49,80.01,61.93,1.2919,1.2195,2594.95
BTCUSDT,baseline,veterana,True,4,87,1327.99,46.23,57.72,0.8009,1.0788,14279.93
BTCUSDT,realista,veterana,True,4,87,1295.67,45.75,58.32,0.7844,1.0705,13956.69
DOGEUSDT,baseline,veterana,True,0,47,9735.77,113.02,77.99,1.449,0.9911,98357.69
DOGEUSDT,realista,veterana,True,0,47,9735.77,113.02,77.99,1.449,0.9911,98357.69
ETHUSDT,baseline,veterana,True,4,49,3078.7,63.94,44.08,1.4505,1.1936,31787.02
ETHUSDT,realista,veterana,True,4,49,2984.63,63.24,44.75,1.4132,1.1846,30846.27
FETUSDT,baseline,nova,False,6,134,1219.96,49.5,81.97,0.6039,0.8823,13199.64
FETUSDT,realista,nova,False,6,134,908.12,43.35,83.74,0.5177,0.8327,10081.21
FLOKIUSDT,baseline,nova,False,1,44,2019.71,292.22,41.22,7.0889,1.8948,21197.11
FLOKIUSDT,realista,nova,False,1,44,1953.36,286.68,43.06,6.6574,1.878,20533.62
HBARUSDT,baseline,nova,False,4,56,29.43,4.52,80.97,0.0558,0.4144,1294.26
HBARUSDT,realista,nova,False,4,56,-1.07,-0.18,83.91,-0.0022,0.3736,989.26
IMXUSDT,baseline,nova,False,4,37,-62.09,-23.91,79.94,-0.2991,-0.1829,379.1
IMXUSDT,realista,nova,False,4,37,-68.84,-28.0,83.51,-0.3353,-0.2619,311.59
INJUSDT,baseline,nova,False,4,29,80.22,13.14,78.98,0.1664,0.5445,1802.25
INJUSDT,realista,nova,False,4,29,38.4,7.05,82.95,0.085,0.4828,1384.05
LINKUSDT,baseline,veterana,True,2,85,3613.97,73.88,76.89,0.961,1.0685,37139.67
LINKUSDT,realista,veterana,True,2,85,3557.65,73.48,77.07,0.9534,1.0656,36576.52
PENGUUSDT,baseline,nova,False,1,9,-1.3,-2.11,44.18,-0.0478,0.3312,986.97
PENGUUSDT,realista,nova,False,1,9,-4.81,-7.71,46.16,-0.167,0.2633,951.93
PEPEUSDT,baseline,nova,False,4,41,1831.11,276.2,58.64,4.7101,1.7768,19311.09
PEPEUSDT,realista,nova,False,4,41,1484.59,244.34,62.02,3.9396,1.6815,15845.91
RENDERUSDT,baseline,nova,False,0,19,62.33,61.64,30.83,1.9993,1.2244,1623.31
RENDERUSDT,realista,nova,False,0,19,62.33,61.64,30.83,1.9993,1.2244,1623.31
SOLUSDT,baseline,veterana,True,0,45,12406.96,164.45,80.08,2.0534,1.5204,125069.63
SOLUSDT,realista,veterana,True,0,45,12406.96,164.45,80.08,2.0534,1.5204,125069.63
SUIUSDT,baseline,nova,False,2,31,35.74,14.61,39.4,0.3709,0.5335,1357.4
SUIUSDT,realista,nova,False,2,31,23.89,10.03,39.4,0.2547,0.4786,1238.89
TAOUSDT,baseline,nova,False,0,24,87.52,62.28,31.33,1.9878,1.187,1875.22
TAOUSDT,realista,nova,False,0,24,87.52,62.28,31.33,1.9878,1.187,1875.22
TRXUSDT,baseline,veterana,True,2,67,1061.24,41.97,64.78,0.6479,0.8301,11612.43
TRXUSDT,realista,veterana,True,2,67,1041.22,41.62,64.99,0.6403,0.8265,11412.23
XRPUSDT,baseline,veterana,True,4,67,1096.63,42.58,68.38,0.6227,0.8304,11966.29
XRPUSDT,realista,veterana,True,4,67,1062.23,41.99,68.56,0.6124,0.8255,11622.26
ZECUSDT,baseline,nova,False,12,114,7.9,1.2,85.7,0.014,0.2972,1079.01
ZECUSDT,realista,nova,False,12,114,-24.29,-4.28,87.18,-0.0491,0.2063,757.08
