Ativo,Grupo,Ano,Config,Regime,Retorno_%,BH_%,DD_%,Trades
1MBABYDOGEUSDT,nova,2024,DEFENSIVO,BULL,73.66,255.64,26.01,3
1MBABYDOGEUSDT,nova,2024,EQUILIBRADO,BULL,-16.04,255.64,28.39,2
1MBABYDOGEUSDT,nova,2024,AGRESSIVO,BULL,-16.04,255.64,28.39,2
1MBABYDOGEUSDT,nova,2025,DEFENSIVO,BEAR,-12.51,-55.7,29.58,8
1MBABYDOGEUSDT,nova,2025,EQUILIBRADO,BEAR,-8.1,-55.7,34.49,5
1MBABYDOGEUSDT,nova,2025,AGRESSIVO,BEAR,-18.27,-55.7,34.49,6
API3USDT,nova,2022,DEFENSIVO,BEAR,-15.14,-75.73,27.02,2
API3USDT,nova,2022,EQUILIBRADO,BEAR,18.52,-75.73,17.56,1
API3USDT,nova,2022,AGRESSIVO,BEAR,18.52,-75.73,17.56,1
API3USDT,nova,2023,DEFENSIVO,BULL,-29.67,96.65,60.06,8
API3USDT,nova,2023,EQUILIBRADO,BULL,-52.65,96.65,71.27,6
API3USDT,nova,2023,AGRESSIVO,BULL,-55.64,96.65,71.27,6
API3USDT,nova,2024,DEFENSIVO,LATERAL,105.5,-20.38,50.17,5
API3USDT,nova,2024,EQUILIBRADO,LATERAL,-27.71,-20.38,52.01,4
API3USDT,nova,2024,AGRESSIVO,LATERAL,-32.9,-20.38,52.01,4
API3USDT,nova,2025,DEFENSIVO,BEAR,-11.39,-53.4,43.56,3
API3USDT,nova,2025,EQUILIBRADO,BEAR,11.79,-53.4,29.37,3
API3USDT,nova,2025,AGRESSIVO,BEAR,10.67,-53.4,23.66,3
BNBUSDT,veterana,2018,DEFENSIVO,BEAR,-12.58,-53.72,15.65,2
BNBUSDT,veterana,2018,EQUILIBRADO,BEAR,-19.03,-53.72,21.88,1
BNBUSDT,veterana,2018,AGRESSIVO,BEAR,-19.03,-53.72,21.88,1
BNBUSDT,veterana,2019,DEFENSIVO,BULL,-4.07,124.34,15.98,1
BNBUSDT,veterana,2019,EQUILIBRADO,BULL,-31.17,124.34,39.72,1
BNBUSDT,veterana,2019,AGRESSIVO,BULL,-31.17,124.34,39.72,1
BNBUSDT,veterana,2020,DEFENSIVO,BULL,63.03,172.38,33.17,5
BNBUSDT,veterana,2020,EQUILIBRADO,BULL,117.35,172.38,21.19,3
BNBUSDT,veterana,2020,AGRESSIVO,BULL,56.3,172.38,20.96,3
BNBUSDT,veterana,2021,DEFENSIVO,BULL,39.78,1268.86,29.09,4
BNBUSDT,veterana,2021,EQUILIBRADO,BULL,82.43,1268.86,10.54,2
BNBUSDT,veterana,2021,AGRESSIVO,BULL,64.51,1268.86,13.79,2
BNBUSDT,veterana,2022,DEFENSIVO,BEAR,-14.06,-51.85,30.2,7
BNBUSDT,veterana,2022,EQUILIBRADO,BEAR,-32.35,-51.85,39.68,3
BNBUSDT,veterana,2022,AGRESSIVO,BEAR,-28.98,-51.85,39.58,4
BNBUSDT,veterana,2023,DEFENSIVO,BULL,54.43,26.59,14.26,6
BNBUSDT,veterana,2023,EQUILIBRADO,BULL,11.14,26.59,39.77,4
BNBUSDT,veterana,2023,AGRESSIVO,BULL,-7.41,26.59,39.77,4
BNBUSDT,veterana,2024,DEFENSIVO,BULL,54.94,125.17,34.18,7
BNBUSDT,veterana,2024,EQUILIBRADO,BULL,9.36,125.17,31.21,5
BNBUSDT,veterana,2024,AGRESSIVO,BULL,-6.72,125.17,28.58,5
