Ativo,Modo,Grupo,n_trades,retorno_total_pct,retorno_anual_pct,drawdown_pct,calmar,sharpe,capital_final
1MBABYDOGEUSDT,Baseline,nova,11,51.93,62.04,38.37,1.6169,0.9107,1519.31
1MBABYDOGEUSDT,R=2%,nova,11,7.5,8.71,7.82,1.114,0.79,1075.05
1MBABYDOGEUSDT,R=5%,nova,11,17.71,20.7,17.07,1.2127,0.8351,1177.11
1MBABYDOGEUSDT,R=10%,nova,11,31.76,37.47,28.65,1.3079,0.8823,1317.56
1MBABYDOGEUSDT,R=15%,nova,11,41.98,49.86,37.53,1.3285,0.9093,1419.83
1MBABYDOGEUSDT,R=20%,nova,11,48.43,57.74,44.82,1.2884,0.9246,1484.33
1MBABYDOGEUSDT,R=30%,nova,11,50.91,60.78,56.51,1.0756,0.9362,1509.07
API3USDT,Baseline,nova,19,-11.71,-3.48,68.83,-0.0505,0.2686,882.93
API3USDT,R=2%,nova,19,4.86,1.36,9.05,0.1501,0.2313,1048.62
API3USDT,R=5%,nova,19,10.43,2.86,21.23,0.1346,0.25,1104.26
API3USDT,R=10%,nova,19,15.26,4.12,38.28,0.1075,0.2757,1152.56
API3USDT,R=15%,nova,19,15.0,4.05,51.95,0.078,0.2971,1150.03
API3USDT,R=20%,nova,19,10.44,2.86,62.85,0.0455,0.3157,1104.36
API3USDT,R=30%,nova,19,-7.9,-2.31,78.37,-0.0295,0.3472,920.97
BNBUSDT,Baseline,veterana,41,14473.85,103.81,43.31,2.3967,1.4462,145738.46
BNBUSDT,R=2%,veterana,41,253.15,19.76,31.71,0.6232,0.9242,3531.46
BNBUSDT,R=5%,veterana,41,990.86,40.71,38.66,1.0531,1.1599,10908.64
BNBUSDT,R=10%,veterana,41,3794.48,68.78,42.51,1.618,1.3422,38944.81
BNBUSDT,R=15%,veterana,41,9870.86,93.05,44.84,2.0751,1.4334,99708.6
BNBUSDT,R=20%,veterana,41,21089.77,115.01,46.89,2.4526,1.4859,211897.72
BNBUSDT,R=30%,veterana,41,67544.54,153.81,57.73,2.6645,1.5401,676445.39
BONKUSDT,Baseline,nova,21,191.33,93.32,57.26,1.6297,1.3419,2913.33
BONKUSDT,R=2%,nova,21,26.98,15.86,6.09,2.6056,1.7156,1269.78
BONKUSDT,R=5%,nova,21,72.34,39.87,14.7,2.7115,1.7117,1723.37
BONKUSDT,R=10%,nova,21,158.5,79.58,27.75,2.8675,1.695,2584.97
BONKUSDT,R=15%,nova,21,252.55,117.44,39.27,2.9903,1.672,3525.51
BONKUSDT,R=20%,nova,21,347.16,151.76,49.39,3.0727,1.6459,4471.56
BONKUSDT,R=30%,nova,21,506.79,203.89,65.86,3.0956,1.589,6067.93
BTCUSDT,Baseline,veterana,91,1327.99,46.23,57.72,0.8009,1.0788,14279.93
BTCUSDT,R=2%,veterana,91,166.49,15.04,12.43,1.2094,1.2756,2664.85
BTCUSDT,R=5%,veterana,91,736.78,35.47,28.04,1.2651,1.3257,8367.79
BTCUSDT,R=10%,veterana,91,3082.48,63.97,48.53,1.318,1.3428,31824.77
BTCUSDT,R=15%,veterana,91,7400.28,85.34,63.45,1.3451,1.3259,75002.79
BTCUSDT,R=20%,veterana,91,12475.23,99.55,74.24,1.3409,1.2952,125752.35
BTCUSDT,R=30%,veterana,91,16588.62,107.78,87.55,1.2311,1.2197,166886.24
DOGEUSDT,Baseline,veterana,47,9735.77,113.02,77.99,1.449,0.9911,98357.69
DOGEUSDT,R=2%,veterana,47,119.02,13.79,22.3,0.6185,0.7511,2190.19
DOGEUSDT,R=5%,veterana,47,479.19,33.57,38.23,0.8781,0.8802,5791.86
DOGEUSDT,R=10%,veterana,47,1958.21,64.61,52.1,1.2401,1.009,20582.13
DOGEUSDT,R=15%,veterana,47,5385.21,93.47,60.88,1.5353,1.0906,54852.06
DOGEUSDT,R=20%,veterana,47,11901.66,120.12,67.52,1.7791,1.1491,120016.62
DOGEUSDT,R=30%,veterana,47,37946.85,166.22,78.44,2.119,1.2298,380468.52
ETHUSDT,Baseline,veterana,53,3078.7,63.94,44.08,1.4505,1.1936,31787.02
ETHUSDT,R=2%,veterana,53,104.01,10.73,9.27,1.1572,1.0716,2040.11
ETHUSDT,R=5%,veterana,53,371.72,24.82,17.92,1.3852,1.1387,4717.16
ETHUSDT,R=10%,veterana,53,1238.85,44.89,32.87,1.3655,1.1861,13388.48
ETHUSDT,R=15%,veterana,53,2772.45,61.59,45.55,1.352,1.2045,28724.49
ETHUSDT,R=20%,veterana,53,4956.3,75.19,56.19,1.3381,1.211,50563.0
ETHUSDT,R=30%,veterana,53,9930.11,93.21,72.41,1.2872,1.2079,100301.12
