Selecionado_por,Lucro_Treino_%,Lucro_TESTE_%,Trades_Treino,Trades_TESTE,DD_TESTE_%,media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador
Robustez,154692.84,-60.63,34.0,10,69.09,21,150,250,10,6.0
Robustez,175427.69,-59.38,34.0,10,69.88,21,150,250,5,6.0
Robustez,175427.69,-59.38,34.0,10,69.88,21,150,250,7,6.0
Robustez,174211.85,-61.25,34.0,10,69.58,21,150,250,20,6.0
Robustez,150550.78,-59.69,34.0,10,70.1,21,150,250,5,5.0
Lucro_Puro,187423.34,-60.3,34.0,10,68.84,21,150,250,30,5.0
Lucro_Puro,186631.71,-74.32,36.0,11,77.08,21,100,250,30,5.0
Lucro_Puro,185620.0,-54.46,34.0,10,65.56,21,150,250,5,3.0
Lucro_Puro,184675.59,-73.57,36.0,11,76.79,21,100,250,20,5.0
Lucro_Puro,182480.17,-69.95,36.0,11,73.79,21,100,250,20,4.0
