Ativo,Timeframe,Janela,Periodo_Treino,Periodo_Teste,media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador,Lucro_Treino_%,Trades_Treino,Lucro_Estrategia_TESTE_%,Lucro_BuyHold_TESTE_%,Trades_TESTE,DD_TESTE_%
FETUSDT,4h,1,2019-02-28 a 2021-12-31,2022-01-01 a 2022-12-31,15,100,250,10,6.0,9687.13,22,-18.22,-81.74,6,41.27
FETUSDT,4h,2,2019-02-28 a 2022-12-31,2023-01-01 a 2023-12-31,15,100,250,10,4.0,8206.18,28,318.46,634.17,12,69.27
FETUSDT,4h,3,2019-02-28 a 2023-12-31,2024-01-01 a 2024-12-31,15,80,250,10,4.0,53803.52,42,-26.36,89.12,8,42.5
FETUSDT,4h,4,2019-02-28 a 2024-12-31,2025-01-01 a 2025-12-31,21,150,250,10,6.0,145313.28,37,-48.23,-84.39,4,54.78
FETUSDT,4h,5,2019-02-28 a 2025-12-31,2026-01-01 a 2026-07-28,14,150,250,10,5.0,125571.9,43,8.6,-28.99,3,30.46
BTCUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,18,120,250,20,2.5,863.42,18,34.29,59.79,8,29.5
BTCUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,15,200,200,25,3.0,2085.31,29,-26.07,-64.21,10,30.55
BTCUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,14,120,200,20,2.0,1467.59,40,32.89,155.62,12,22.86
BTCUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,15,200,200,25,3.0,2988.74,47,111.69,121.31,8,23.04
BTCUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,15,200,200,25,3.0,6528.07,56,-1.93,-6.33,11,16.57
BTCUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,15,200,200,25,3.0,6400.01,67,-10.79,-27.56,5,21.25
ETHUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,12,200,250,5,5.0,864.91,11,68.16,399.2,7,55.82
ETHUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,14,200,200,5,4.0,3448.42,23,-9.73,-67.46,7,35.81
ETHUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,14,200,200,5,4.0,3103.27,30,29.99,90.77,10,30.75
ETHUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,14,200,200,5,4.0,4063.83,40,8.06,46.27,10,38.46
ETHUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,9,100,100,7,1.5,7691.7,104,-25.79,-10.97,16,26.68
ETHUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,12,200,200,5,3.0,10692.07,61,-7.16,-36.34,5,26.83
SOLUSDT,4h,1,2020-08-11 a 2022-12-31,2023-01-01 a 2023-12-31,14,150,150,20,0.5,8366.08,28,-17.9,920.26,11,18.87
SOLUSDT,4h,2,2020-08-11 a 2023-12-31,2024-01-01 a 2024-12-31,12,200,250,5,1.5,29339.79,24,21.98,86.11,6,21.27
SOLUSDT,4h,3,2020-08-11 a 2024-12-31,2025-01-01 a 2025-12-31,10,200,250,14,3.0,48809.87,35,31.57,-34.16,7,25.54
SOLUSDT,4h,4,2020-08-11 a 2025-12-31,2026-01-01 a 2026-07-28,10,200,250,14,3.0,64251.91,42,-11.41,-41.38,3,11.41
XRPUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,18,50,50,7,4.0,394.45,47,214.14,277.94,21,58.53
XRPUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,18,40,50,10,4.0,1917.21,75,-30.88,-59.16,27,45.03
XRPUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,18,50,100,10,6.0,1574.48,52,8.75,81.65,13,27.69
XRPUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,18,30,50,7,4.0,1926.8,140,146.13,238.52,24,35.73
XRPUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,21,30,50,25,3.0,5714.4,167,-42.31,-11.58,29,45.38
XRPUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,15,50,50,25,4.0,5615.3,168,-6.16,-42.91,11,25.12
BNBUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,7,150,50,20,1.5,851.99,28,869.83,1268.86,11,40.46
BNBUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,9,200,50,20,4.0,14135.16,26,-34.54,-51.85,15,34.54
BNBUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,18,200,200,5,6.0,8593.72,37,25.29,26.59,14,31.36
BNBUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,18,200,50,7,6.0,11130.07,48,43.57,125.17,8,35.81
BNBUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,18,200,50,5,6.0,15488.25,57,49.19,23.07,7,33.97
BNBUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,18,200,50,7,6.0,21686.91,65,-22.22,-34.53,7,28.36
TRXUSDT,4h,1,2018-07-30 a 2020-12-31,2021-01-01 a 2021-12-31,21,100,150,14,6.0,323.96,18,36.98,181.62,5,43.76
TRXUSDT,4h,2,2018-07-30 a 2021-12-31,2022-01-01 a 2022-12-31,18,100,50,5,6.0,1894.57,41,-36.73,-27.68,16,44.88
TRXUSDT,4h,3,2018-07-30 a 2022-12-31,2023-01-01 a 2023-12-31,21,100,100,7,6.0,904.03,51,57.16,97.5,11,19.49
TRXUSDT,4h,4,2018-07-30 a 2023-12-31,2024-01-01 a 2024-12-31,21,100,100,7,6.0,1477.97,62,121.08,136.71,10,37.07
TRXUSDT,4h,5,2018-07-30 a 2024-12-31,2025-01-01 a 2025-12-31,18,100,100,5,6.0,3372.9,77,-26.46,11.7,16,36.71
TRXUSDT,4h,6,2018-07-30 a 2025-12-31,2026-01-01 a 2026-07-28,21,100,100,7,6.0,2511.9,90,12.85,14.13,4,12.35
