,2023,2024,2025
API3USDT,-29.67,105.5,-11.39
BNBUSDT,54.43,54.94,14.98
BONKUSDT,0.0,9.91,165.06
BTCUSDT,93.08,40.39,13.05
DOGEUSDT,52.52,49.25,-0.54
ETHUSDT,40.28,36.7,80.25
FETUSDT,222.09,91.31,-35.31
FLOKIUSDT,44.27,702.9,83.0
HBARUSDT,39.91,-11.16,-35.02
IMXUSDT,72.24,-26.07,-27.0
INJUSDT,239.48,-48.1,-5.76
LINKUSDT,118.41,-7.43,-25.22
PEPEUSDT,106.41,702.48,16.59
SOLUSDT,604.07,-10.14,7.41
SUIUSDT,10.96,8.15,13.11
TRXUSDT,44.05,121.34,-24.5
XRPUSDT,14.62,121.77,-19.97
ZECUSDT,-41.13,-36.9,-10.02
