Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_%,BH_%,DD_%,Trades,Sharpe_janela
1MBABYDOGEUSDT,nova,4h,2024,2024-09-16 a 2024-12-31,BULL,73.66,255.64,26.01,3,1.776
1MBABYDOGEUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,BEAR,-13.63,-58.43,29.58,9,-0.31
API3USDT,nova,12h,2022,2022-01-21 a 2022-12-31,BEAR,-15.14,-75.73,27.02,2,-0.353
API3USDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,-29.67,96.65,60.06,8,-0.598
API3USDT,nova,12h,2024,2024-01-01 a 2024-12-31,LATERAL,105.5,-20.38,50.17,5,1.091
API3USDT,nova,12h,2025,2025-01-01 a 2025-08-06,BEAR,-11.39,-56.92,43.56,3,-0.025
BNBUSDT,veterana,12h,2018,2018-08-08 a 2018-12-31,BEAR,-12.58,-53.52,15.65,2,-2.292
BNBUSDT,veterana,12h,2019,2019-01-01 a 2019-12-31,BULL,-4.07,124.34,15.98,1,-0.193
BNBUSDT,veterana,12h,2020,2020-01-01 a 2020-12-31,BULL,63.03,172.38,33.17,5,1.187
BNBUSDT,veterana,12h,2021,2021-01-01 a 2021-12-31,BULL,39.78,1268.86,29.09,4,0.975
BNBUSDT,veterana,12h,2022,2022-01-01 a 2022-12-31,BEAR,-14.06,-51.85,30.2,7,-0.258
BNBUSDT,veterana,12h,2023,2023-01-01 a 2023-12-31,BULL,54.43,26.59,14.26,6,1.481
BNBUSDT,veterana,12h,2024,2024-01-01 a 2024-12-31,BULL,54.94,125.17,34.18,7,1.155
BNBUSDT,veterana,12h,2025,2025-01-01 a 2025-08-06,LATERAL,9.9,9.57,13.42,5,0.672
BONKUSDT,nova,4h,2023,2023-12-15 a 2023-12-31,BEAR,0.0,-31.71,0.0,0,
BONKUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,9.91,129.41,57.26,13,0.473
BONKUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,LATERAL,165.06,-19.55,19.73,8,2.486
BTCUSDT,veterana,6h,2018,2018-08-08 a 2018-12-31,BEAR,-19.97,-44.9,23.0,6,-1.697
BTCUSDT,veterana,6h,2019,2019-01-01 a 2019-12-31,BULL,88.54,94.4,43.46,8,1.548
BTCUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,357.87,301.98,19.64,13,3.239
BTCUSDT,veterana,6h,2021,2021-01-01 a 2021-12-31,BULL,19.79,59.79,50.07,12,0.603
BTCUSDT,veterana,6h,2022,2022-01-01 a 2022-12-31,BEAR,-44.29,-64.21,48.99,14,-1.78
