Ativo,Grupo,N_Janelas,Mediana_%,Pior_%,Melhor_%,Pct_Positivas,Sharpe_boot,Sharpe_P5,P_value_boot,P_wilcoxon
1MBABYDOGEUSDT,nova,2,30.01,-13.63,73.66,50.0,0.843,-1.488,0.224,
API3USDT,nova,4,-13.27,-29.67,105.5,25.0,0.268,-0.744,0.31,
BNBUSDT,veterana,8,24.84,-14.06,63.03,62.5,1.427,0.842,0.0,0.098
BONKUSDT,nova,3,9.91,0.0,165.06,66.7,1.333,0.017,0.049,
BTCUSDT,veterana,8,30.09,-44.29,357.87,75.0,1.09,0.463,0.002,0.098
DOGEUSDT,veterana,7,49.25,-51.53,2065.33,57.1,0.977,0.486,0.0035,0.148
ETHUSDT,veterana,8,31.8,-12.65,269.05,75.0,1.176,0.559,0.0005,0.02
FETUSDT,nova,7,91.31,-56.03,369.3,57.1,0.876,0.24,0.0105,0.109
FLOKIUSDT,nova,3,83.0,44.27,702.9,100.0,1.886,0.93,0.0015,
HBARUSDT,nova,7,0.63,-43.46,120.9,57.1,0.394,-0.327,0.171,0.406
IMXUSDT,nova,4,-26.51,-59.22,72.24,25.0,-0.196,-1.154,0.66,
INJUSDT,nova,6,-8.18,-48.1,239.48,33.3,0.504,-0.278,0.145,0.406
LINKUSDT,veterana,7,43.12,-53.9,907.19,57.1,1.067,0.461,0.0015,0.148
PENGUUSDT,nova,2,-0.78,-1.56,0.0,0.0,0.331,-2.312,0.4185,
PEPEUSDT,nova,3,106.41,16.59,702.48,100.0,1.768,0.774,0.005,
RENDERUSDT,nova,2,29.26,7.46,51.06,100.0,1.143,-0.44,0.1125,
SOLUSDT,veterana,6,-6.48,-59.09,5446.63,33.3,1.488,0.773,0.0,0.5
SUIUSDT,nova,3,10.96,8.15,11.18,100.0,0.515,-0.58,0.222,
TAOUSDT,nova,2,37.13,29.93,44.33,100.0,1.177,-0.167,0.0785,
TRXUSDT,veterana,8,21.38,-30.49,168.4,50.0,0.833,0.23,0.013,0.156
XRPUSDT,veterana,8,8.63,-26.04,244.56,62.5,0.814,0.194,0.016,0.191
ZECUSDT,nova,7,-10.02,-41.13,142.19,42.9,0.297,-0.366,0.23,0.469
